Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2025-09-08 15:43:16.712,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",3.76
2,2025-09-08 15:43:21.188,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",4479.64
3,2025-09-08 15:43:22.203,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",5495.39
4,2025-09-08 15:43:27.088,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",10379.89
5,2025-09-08 15:43:28.568,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",11859.57
6,2025-09-08 15:43:32.654,PickUpHL,PickUpHL_lp3_fp17_r1,FAILED,"Subtree execution failed",15946.38
7,2025-09-08 15:43:33.966,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",17258.28
8,2025-09-08 15:43:38.839,TravelML,TravelML_r1_pr2_ep1,STARTED,"Normal execution; DeltaTime: 0.100",22130.76
9,2025-09-08 15:43:38.840,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",22132.47
10,2025-09-08 15:43:38.934,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied successfully",22226.06
11,2025-09-08 15:43:40.547,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",23839.07
12,2025-09-08 15:43:40.641,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"Normal execution; DeltaTime: 0.100",23932.81
13,2025-09-08 15:43:40.641,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",23933.35
14,2025-09-08 15:43:40.759,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied successfully",24050.80
15,2025-09-08 15:43:41.875,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",25166.95
16,2025-09-08 15:43:42.009,InitializeML,InitializeML_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",25300.55
17,2025-09-08 15:43:42.010,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",25301.68
18,2025-09-08 15:43:42.081,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied successfully",25372.76
19,2025-09-08 15:43:43.601,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",26893.02
20,2025-09-08 15:43:43.694,TravelML,TravelML_r1_ep1_fp25,STARTED,"Normal execution; DeltaTime: 0.100",26985.71
21,2025-09-08 15:43:43.694,TravelML,TravelML_r1_ep1_fp25,STARTED,"DeltaTime: 0.100",26986.18
22,2025-09-08 15:43:43.766,TravelML,TravelML_r1_ep1_fp25,COMPLETED,"Effects applied successfully",27058.02
23,2025-09-08 15:43:45.172,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",28464.05
