Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2026-04-13 17:10:45.147,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",2.06
2,2026-04-13 17:10:47.044,TravelML,TravelML_robot1_rpmanipulate_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rpmanipulate_rppickup; DeltaTime: 0.100",1899.13
3,2026-04-13 17:10:50.660,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Effects applied on exit",5515.18
4,2026-04-13 17:10:50.811,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",5666.41
5,2026-04-13 17:10:50.820,TravelML,TravelML_robot1_rpmanipulate_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rpmanipulate_rppickup; DeltaTime: 0.100",5675.86
6,2026-04-13 17:10:50.826,TravelML,TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Subtree execution completed successfully",5681.70
7,2026-04-13 17:10:50.827,TravelML,TravelML_robot1_rpmanipulate_rppickup,STARTED,"DeltaTime: 0.100",5682.15
8,2026-04-13 17:10:50.827,TravelML,TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Action logic completed successfully",5682.20
9,2026-04-13 17:10:50.834,TravelML,TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Effects applied on exit",5689.97
10,2026-04-13 17:10:50.954,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",5809.38
11,2026-04-13 17:10:53.982,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup; DeltaTime: 0.100",8837.08
12,2026-04-13 17:11:01.171,MoveToLL,MoveToLL_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",16026.82
13,2026-04-13 17:11:01.285,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",16140.22
14,2026-04-13 17:11:01.290,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup; DeltaTime: 0.100",16145.05
15,2026-04-13 17:11:03.371,CloseGripperLL,CloseGripperLL_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",18226.72
16,2026-04-13 17:11:03.488,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",18343.57
17,2026-04-13 17:11:03.496,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup; DeltaTime: 0.100",18351.76
18,2026-04-13 17:11:10.768,MoveToLL,MoveToLL_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",25623.64
19,2026-04-13 17:11:10.890,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",25745.79
20,2026-04-13 17:11:10.894,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup; DeltaTime: 0.100",25749.95
21,2026-04-13 17:11:10.897,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Subtree execution completed successfully",25752.46
22,2026-04-13 17:11:10.897,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,STARTED,"DeltaTime: 0.100",25752.49
23,2026-04-13 17:11:10.897,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Action logic completed successfully",25752.58
24,2026-04-13 17:11:10.906,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",25761.19
25,2026-04-13 17:11:11.030,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",25885.33
26,2026-04-13 17:11:11.035,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,COMPLETED,"Subtree execution completed successfully",25890.50
27,2026-04-13 17:11:11.035,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"DeltaTime: 0.100",25890.53
28,2026-04-13 17:11:11.035,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,COMPLETED,"Action logic completed successfully",25890.54
29,2026-04-13 17:11:11.046,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,COMPLETED,"Effects applied on exit",25901.10
30,2026-04-13 17:11:11.196,StackHL,StackHL_stick4_table1_robot1_finallocstick4_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackHL_stick4_table1_robot1_finallocstick4_gripper1; DeltaTime: 0.100",26051.42
31,2026-04-13 17:11:13.001,TravelML,TravelML_robot1_rppickup_rpmanipulate,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rppickup_rpmanipulate; DeltaTime: 0.100",27856.64
32,2026-04-13 17:11:26.008,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate,COMPLETED,"Effects applied on exit",40863.68
33,2026-04-13 17:11:26.126,StackHL,StackHL_stick4_table1_robot1_finallocstick4_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackHL_stick4_table1_robot1_finallocstick4_gripper1; DeltaTime: 0.100",40981.79
34,2026-04-13 17:11:26.130,TravelML,TravelML_robot1_rppickup_rpmanipulate,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rppickup_rpmanipulate; DeltaTime: 0.100",40985.91
35,2026-04-13 17:11:26.133,TravelML,TravelML_robot1_rppickup_rpmanipulate,COMPLETED,"Subtree execution completed successfully",40988.60
36,2026-04-13 17:11:26.133,TravelML,TravelML_robot1_rppickup_rpmanipulate,STARTED,"DeltaTime: 0.100",40988.63
37,2026-04-13 17:11:26.133,TravelML,TravelML_robot1_rppickup_rpmanipulate,COMPLETED,"Action logic completed successfully",40988.63
38,2026-04-13 17:11:26.136,TravelML,TravelML_robot1_rppickup_rpmanipulate,COMPLETED,"Effects applied on exit",40991.39
39,2026-04-13 17:11:26.263,StackHL,StackHL_stick4_table1_robot1_finallocstick4_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackHL_stick4_table1_robot1_finallocstick4_gripper1; DeltaTime: 0.100",41118.72
40,2026-04-13 17:11:26.274,StackML,StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,STARTED,"HL subtree tick: LL_DynamicFlow_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate; DeltaTime: 0.100",41129.90
41,2026-04-13 17:11:47.438,MoveToLL,MoveToLL_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,COMPLETED,"Effects applied on exit",62293.24
42,2026-04-13 17:11:47.566,StackHL,StackHL_stick4_table1_robot1_finallocstick4_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackHL_stick4_table1_robot1_finallocstick4_gripper1; DeltaTime: 0.100",62421.69
43,2026-04-13 17:11:47.570,StackML,StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,STARTED,"HL subtree tick: LL_DynamicFlow_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate; DeltaTime: 0.100",62425.91
44,2026-04-13 17:11:59.670,MoveToLL,MoveToLL_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,COMPLETED,"Effects applied on exit",74525.34
45,2026-04-13 17:11:59.795,StackHL,StackHL_stick4_table1_robot1_finallocstick4_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackHL_stick4_table1_robot1_finallocstick4_gripper1; DeltaTime: 0.100",74650.96
46,2026-04-13 17:11:59.818,StackML,StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,STARTED,"HL subtree tick: LL_DynamicFlow_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate; DeltaTime: 0.100",74673.23
47,2026-04-13 17:11:59.820,StackML,StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,COMPLETED,"Subtree execution completed successfully",74675.43
48,2026-04-13 17:11:59.820,StackML,StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,STARTED,"DeltaTime: 0.100",74675.54
49,2026-04-13 17:11:59.820,StackML,StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,COMPLETED,"Action logic completed successfully",74675.55
50,2026-04-13 17:11:59.831,StackML,StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,COMPLETED,"Effects applied on exit",74686.29
51,2026-04-13 17:11:59.951,StackHL,StackHL_stick4_table1_robot1_finallocstick4_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackHL_stick4_table1_robot1_finallocstick4_gripper1; DeltaTime: 0.100",74806.80
