ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTFlowNodeComposite,659,1300,0,0,659
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,0,0,0,0,0
DecoratorExclusiveBranchGate,229,1300,1300,0,229
DecoratorLowestCostExecution,0,0,0,0,0
DecoratorPlanningComplete,669,3677,3677,0,669
DecoratorRecovery,428,1071,1071,0,428
DecoratorResetOnSubtreeSuccess,229,1300,1300,0,229
DecoratorRetryOnFailure,241,2606,2606,0,241
DynamicFlowNode,0,3677,663,0,669
GenericBTAction,669,3014,1298,2,669
ServiceLLSubtreeInject,0,3014,3014,0,1310
ServicePDDLPlanning,0,2606,2606,0,241
ServicePlanningPhaseManager,0,0,0,0,0
ServiceSubtreeInject,1310,3014,3014,0,1310
TOTAL,4434,26579,20549,2,6654
