HLId,ActionName,PlannerType,MLActionCount,PlannerTimeMs,TotalTimeMs,Success
1,Layers1_2,ENHSP,33,2109.21,1284781.21,True
2,PickUpHL_stick4_initlocstick4_robot1_gripper1,ENHSP,2,1791.35,25874.94,True
3,StackHL_stick4_table1_robot1_finallocstick4_gripper1,ENHSP,2,1729.48,48749.33,True
4,PickUpHL_stick5_initlocstick5_robot1_gripper1,ENHSP,2,1838.52,35656.72,True
5,StackHL_stick5_table1_robot1_finallocstick5_gripper1,ENHSP,2,1836.31,47127.59,True
6,PickUpHL_stick2_initlocstick2_robot1_gripper1,ENHSP,2,1759.88,44553.45,True
7,StackHL_stick2_table1_robot1_finallocstick2_gripper1,ENHSP,2,1707.69,46990.25,True
8,PickUpHL_stick9_initlocstick9_robot1_gripper1,ENHSP,2,1772.80,36553.80,True
9,StackOnTwoHL_stick9_robot1_finallocstick9_stick5_stick4_layer1_layer2_gripper1,ENHSP,2,1866.05,47129.65,True
10,PickUpHL_cube2_initloccube2_robot1_gripper1,ENHSP,2,1774.41,39615.94,True
11,StackHL_cube2_stick5_robot1_finloccube2_gripper1,ENHSP,2,2052.77,47816.28,True
12,PickUpHL_stick1_initlocstick1_robot1_gripper1,ENHSP,2,1877.07,48525.81,True
13,StackHL_stick1_table1_robot1_finallocstick1_gripper1,ENHSP,2,1911.87,55312.40,True
14,PickUpHL_stick3_initlocstick3_robot1_gripper1,ENHSP,2,1794.42,40632.68,True
15,StackHL_stick3_table1_robot1_finallocstick3_gripper1,ENHSP,2,1905.94,44824.48,True
16,PickUpHL_cube1_initloccube1_robot1_gripper1,ENHSP,2,1860.81,47030.40,True
17,StackHL_cube1_stick1_robot1_finloccube1_gripper1,ENHSP,2,1811.76,47092.67,True
18,PickUpHL_stick7_initlocstick7_robot1_gripper1,ENHSP,2,1997.29,37302.21,True
19,StackOnTwoHL_stick7_robot1_finallocstick7_stick3_stick2_layer1_layer2_gripper1,ENHSP,2,1926.33,44114.02,True
20,PickUpHL_stick8_initlocstick8_robot1_gripper1,ENHSP,2,1917.15,42992.52,True
21,StackOnTwoHL_stick8_robot1_finallocstick8_stick3_stick4_layer1_layer2_gripper1,ENHSP,2,1819.58,48556.15,True
22,PickUpHL_stick6_initlocstick6_robot1_gripper1,ENHSP,2,1850.08,123824.03,True
23,StackOnTwoHL_stick6_robot1_finallocstick6_stick2_stick1_layer1_layer2_gripper1,ENHSP,2,1810.31,50034.85,True
24,ChangeEndeffectorHL_robot1_gripper1_staplergun1,ENHSP,4,1801.03,49289.96,True
25,NailingHL_stick6_stick1_robot1_staplergun1,ENHSP,3,1871.08,44520.02,True
26,NailingHL_stick6_stick2_robot1_staplergun1,ENHSP,1,1913.54,13331.45,True
27,NailingHL_stick7_stick2_robot1_staplergun1,ENHSP,1,1862.21,14931.04,True
28,NailingHL_stick7_stick3_robot1_staplergun1,ENHSP,1,1965.31,18970.80,True
