LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
1,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup,movej,rppickup,,True,1532.20
2,MoveToLL,MoveToLL_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,movel,initlocstick4,,True,5129.98
3,CloseGripperLL,CloseGripperLL_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,close_gripper,,,True,25.90
4,MoveToLL,MoveToLL_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,movel,rppickup,,True,5246.84
5,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate,movej,rpmanipulate,,True,10973.82
6,MoveToLL,MoveToLL_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,planned,finallocstick4,,True,19111.85
7,MoveToLL,MoveToLL_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,movej,rpmanipulate,,True,10056.35
8,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup2,movej,rppickup,,True,10808.84
9,MoveToLL,MoveToLL_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,movel,initlocstick5,,True,6428.28
10,CloseGripperLL,CloseGripperLL_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,close_gripper,,,True,13.10
11,MoveToLL,MoveToLL_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,movel,rppickup,,True,5245.52
12,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup2,movej,rpmanipulate,,True,10829.16
13,MoveToLL,MoveToLL_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,planned,finallocstick5,,True,17508.91
14,MoveToLL,MoveToLL_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,movej,rpmanipulate,,True,10048.94
15,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup3,movej,rppickup,,True,10864.36
16,MoveToLL,MoveToLL_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,movel,initlocstick2,,True,5151.65
17,CloseGripperLL,CloseGripperLL_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,close_gripper,,,True,2.54
18,MoveToLL,MoveToLL_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,movel,rppickup,,True,5834.40
19,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup3,movej,rpmanipulate,,True,10906.71
20,MoveToLL,MoveToLL_StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,planned,finallocstick2,,True,16693.99
21,MoveToLL,MoveToLL_StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,movej,rpmanipulate,,True,10756.31
22,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup4,movej,rppickup,,True,10839.21
23,MoveToLL,MoveToLL_PickUpML_stick9_initlocstick9_robot1_gripper1_rppickup,movel,initlocstick9,,True,5144.82
24,CloseGripperLL,CloseGripperLL_PickUpML_stick9_initlocstick9_robot1_gripper1_rppickup,close_gripper,,,True,13.58
25,MoveToLL,MoveToLL_PickUpML_stick9_initlocstick9_robot1_gripper1_rppickup,movel,rppickup,,True,5930.80
