MLId,ActionType,InstanceName,ParentHLAction,LLStepsTotal,LLStepsSucceeded,TotalTimeMs,Success
1,TravelML,TravelML_robot1_rpmanipulate_rppickup,PickUpHL_stick4_initlocstick4_robot1_gripper1,0,0,3792.09,True
2,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,PickUpHL_stick4_initlocstick4_robot1_gripper1,0,0,19940.47,True
3,TravelML,TravelML_robot1_rppickup_rpmanipulate,StackHL_stick4_table1_robot1_finallocstick4_gripper1,0,0,13134.90,True
4,StackML,StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,StackHL_stick4_table1_robot1_finallocstick4_gripper1,0,0,33556.64,True
5,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup2,PickUpHL_stick5_initlocstick5_robot1_gripper1,0,0,12989.30,True
6,PickUpML,PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,PickUpHL_stick5_initlocstick5_robot1_gripper1,0,0,20506.99,True
7,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup2,StackHL_stick5_table1_robot1_finallocstick5_gripper1,0,0,13014.31,True
8,StackML,StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,StackHL_stick5_table1_robot1_finallocstick5_gripper1,0,0,31952.01,True
9,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup3,PickUpHL_stick2_initlocstick2_robot1_gripper1,0,0,13090.77,True
10,PickUpML,PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,PickUpHL_stick2_initlocstick2_robot1_gripper1,0,0,29361.63,True
11,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup3,StackHL_stick2_table1_robot1_finallocstick2_gripper1,0,0,13124.97,True
12,StackML,StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,StackHL_stick2_table1_robot1_finallocstick2_gripper1,0,0,31837.26,True
13,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup4,PickUpHL_stick9_initlocstick9_robot1_gripper1,0,0,13057.29,True
14,PickUpML,PickUpML_stick9_initlocstick9_robot1_gripper1_rppickup,PickUpHL_stick9_initlocstick9_robot1_gripper1,0,0,21400.57,True
15,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup4,StackOnTwoHL_stick9_robot1_finallocstick9_stick5_stick4_layer1_layer2_gripper1,0,0,13002.64,True
16,StackOnTwoML,StackOnTwoML_stick9_robot1_finallocstick9_rpmanipulate_stick5_stick4_gripper1_layer1_layer2,StackOnTwoHL_stick9_robot1_finallocstick9_stick5_stick4_layer1_layer2_gripper1,0,0,31946.70,True
17,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup5,PickUpHL_cube2_initloccube2_robot1_gripper1,0,0,13098.59,True
18,PickUpML,PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,PickUpHL_cube2_initloccube2_robot1_gripper1,0,0,24418.65,True
19,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup5,StackHL_cube2_stick5_robot1_finloccube2_gripper1,0,0,13497.07,True
20,StackML,StackML_cube2_stick5_robot1_gripper1_finloccube2_rpmanipulate,StackHL_cube2_stick5_robot1_finloccube2_gripper1,0,0,31933.23,True
21,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup6,PickUpHL_stick1_initlocstick1_robot1_gripper1,0,0,12977.82,True
22,PickUpML,PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,PickUpHL_stick1_initlocstick1_robot1_gripper1,0,0,33342.11,True
23,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup6,StackHL_stick1_table1_robot1_finallocstick1_gripper1,0,0,12920.73,True
24,StackML,StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,StackHL_stick1_table1_robot1_finallocstick1_gripper1,0,0,40140.47,True
25,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup7,PickUpHL_stick3_initlocstick3_robot1_gripper1,0,0,13072.86,True
26,PickUpML,PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup,PickUpHL_stick3_initlocstick3_robot1_gripper1,0,0,25434.83,True
27,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup7,StackHL_stick3_table1_robot1_finallocstick3_gripper1,0,0,12958.12,True
28,StackML,StackML_stick3_table1_robot1_gripper1_finallocstick3_rpmanipulate,StackHL_stick3_table1_robot1_finallocstick3_gripper1,0,0,29600.28,True
29,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup8,PickUpHL_cube1_initloccube1_robot1_gripper1,0,0,12938.68,True
