Counter,Timestamp,ActionName,InstanceName,Result,ElapsedMs
0001,15:17:06.542,TravelML,TravelML_r1_pr2_ep1,SUCCESS,1
0002,15:17:06.693,EquipeML,EquipeML_r1_vg1_ep1,SUCCESS,152
0003,15:17:06.820,TravelML,TravelML_r1_ep1_fp1,SUCCESS,279
0004,15:17:06.940,InitializeML,InitializeML_r1_vg1,SUCCESS,400
0005,15:17:07.134,PickUpML,PickUpML_lp1_fp1_r1_vg1,SUCCESS,593
0006,15:17:11.670,TravelML,TravelML_r1_fp1_pr1,SUCCESS,5130
0007,15:17:11.781,PlaceML,PlaceML_lp1_pr1_r1_vg1,SUCCESS,5241
0008,15:17:16.206,TravelML,TravelML_r1_pr1_fp9,SUCCESS,9665
0009,15:17:16.324,PickUpML,PickUpML_lp2_fp9_r1_vg1,SUCCESS,9783
0010,15:17:21.246,TravelML,TravelML_r1_fp9_pr2,SUCCESS,14705
0011,15:17:21.370,PlaceML,PlaceML_lp2_pr2_r1_vg1,SUCCESS,14829
0012,15:17:25.372,TravelML,TravelML_r1_pr2_fp17,SUCCESS,18831
0013,15:17:25.611,PickUpML,PickUpML_lp3_fp17_r1_vg1,SUCCESS,19070
0014,15:17:29.531,TravelML,TravelML_r1_fp17_pr3,SUCCESS,22990
0015,15:17:29.824,PlaceML,PlaceML_lp3_pr3_r1_vg1,SUCCESS,23283
0016,15:17:34.120,TravelML,TravelML_r1_pr3_fp25,SUCCESS,27579
0017,15:17:34.245,PickUpML,PickUpML_lp4_fp25_r1_vg1,SUCCESS,27704
0018,15:17:38.585,TravelML,TravelML_r1_fp25_pr4,SUCCESS,32045
0019,15:17:38.719,PlaceML,PlaceML_lp4_pr4_r1_vg1,SUCCESS,32178
0020,15:17:43.069,CloseToolML,CloseToolML_r1_vg1,SUCCESS,36528
0021,15:17:43.192,TravelML,TravelML_r1_pr4_ep1,SUCCESS,36651
0022,15:17:43.399,DeequipML,DeequipML_r1_vg1_ep1,SUCCESS,36858
0023,15:17:43.524,TravelML,TravelML_r1_ep1_ep2,SUCCESS,36984
0024,15:17:43.774,EquipeML,EquipeML_r1_gg1_ep2,SUCCESS,37233
0025,15:17:43.905,TravelML,TravelML_r1_ep2_pr1,SUCCESS,37364
0026,15:17:44.176,InitializeML,InitializeML_r1_gg1,SUCCESS,37635
0027,15:17:44.347,GluingML,GluingML_lp1_pr1_r1_gg1,SUCCESS,37806
0028,15:17:48.292,TravelML,TravelML_r1_pr1_pr2,SUCCESS,41751
0029,15:17:48.546,GluingML,GluingML_lp2_pr2_r1_gg1,SUCCESS,42006
0030,15:17:52.501,TravelML,TravelML_r1_pr2_pr3,SUCCESS,45960
0031,15:17:52.706,GluingML,GluingML_lp3_pr3_r1_gg1,SUCCESS,46166
0032,15:17:56.410,TravelML,TravelML_r1_pr3_pr4,SUCCESS,49869
0033,15:17:56.657,GluingML,GluingML_lp4_pr4_r1_gg1,SUCCESS,50116
0034,15:18:00.746,TravelML,TravelML_r1_pr4_ep2,SUCCESS,54206
0035,15:18:00.879,CloseToolML,CloseToolML_r1_gg1,SUCCESS,54338
0036,15:18:01.034,DeequipML,DeequipML_r1_gg1_ep2,SUCCESS,54493
0037,15:18:01.162,TravelML,TravelML_r1_ep2_ep1,SUCCESS,54622
0038,15:18:01.417,EquipeML,EquipeML_r1_vg1_ep1,SUCCESS,54876
0039,15:18:01.545,TravelML,TravelML_r1_ep1_fp4,SUCCESS,55004
0040,15:18:01.814,InitializeML,InitializeML_r1_vg1,SUCCESS,55274
0041,15:18:01.943,PickUpML,PickUpML_b3_fp4_r1_vg1,SUCCESS,55403
0042,15:18:06.019,TravelML,TravelML_r1_fp4_pr1,SUCCESS,59478
0043,15:18:06.159,StackML,StackML_b3_lp1_r1_vg1_pr1,SUCCESS,59618
0044,15:18:09.878,TravelML,TravelML_r1_pr1_fp6,SUCCESS,63337
0045,15:18:10.008,PickUpML,PickUpML_b4_fp6_r1_vg1,SUCCESS,63467
0046,15:18:13.952,TravelML,TravelML_r1_fp6_pr1,SUCCESS,67412
0047,15:18:14.089,StackML,StackML_b4_lp1_r1_vg1_pr1,SUCCESS,67548
0048,15:18:18.181,TravelML,TravelML_r1_pr1_fp8,SUCCESS,71641
0049,15:18:18.373,PickUpML,PickUpML_b6_fp8_r1_vg1,SUCCESS,71832
0050,15:18:22.532,TravelML,TravelML_r1_fp8_pr1,SUCCESS,75991
0051,15:18:22.829,StackML,StackML_b6_lp1_r1_vg1_pr1,SUCCESS,76288
0052,15:18:27.098,TravelML,TravelML_r1_pr1_fp7,SUCCESS,80557
