Run1_Counter,Run1_Timestamp,Run1_ActionName,Run1_InstanceName,Run1_Result,Run1_ElapsedMs,,Run2_Counter,Run2_Timestamp,Run2_ActionName,Run2_InstanceName,Run2_Result,Run2_ElapsedMs
0001,16:53:04.815,TravelML,TravelML_r1_pr2_ep1,SUCCESS,1,,0001,15:17:06.542,TravelML,TravelML_r1_pr2_ep1,SUCCESS,1
0002,16:53:05.941,EquipeML,EquipeML_r1_vg1_ep1,SUCCESS,1127,,0002,15:17:06.693,EquipeML,EquipeML_r1_vg1_ep1,SUCCESS,152
0003,16:53:07.429,InitializeML,InitializeML_r1_vg1,SUCCESS,2615,,0003,15:17:06.820,TravelML,TravelML_r1_ep1_fp1,SUCCESS,279
0004,16:53:08.927,TravelML,TravelML_r1_ep1_fp1,SUCCESS,4113,,0004,15:17:06.940,InitializeML,InitializeML_r1_vg1,SUCCESS,400
0005,16:53:10.273,PickUpML,PickUpML_lp1_fp1_r1_vg1,SUCCESS,5459,,0005,15:17:07.134,PickUpML,PickUpML_lp1_fp1_r1_vg1,SUCCESS,593
0006,16:53:24.462,TravelML,TravelML_r1_fp1_pr1,SUCCESS,19648,,0006,15:17:11.670,TravelML,TravelML_r1_fp1_pr1,SUCCESS,5130
0007,16:53:25.760,PlaceML,PlaceML_lp1_pr1_r1_vg1,SUCCESS,20946,,0007,15:17:11.781,PlaceML,PlaceML_lp1_pr1_r1_vg1,SUCCESS,5241
0008,16:53:39.583,TravelML,TravelML_r1_pr1_fp9,SUCCESS,34769,,0008,15:17:16.206,TravelML,TravelML_r1_pr1_fp9,SUCCESS,9665
0009,16:53:41.053,PickUpML,PickUpML_lp2_fp9_r1_vg1,SUCCESS,36239,,0009,15:17:16.324,PickUpML,PickUpML_lp2_fp9_r1_vg1,SUCCESS,9783
0010,16:53:56.005,TravelML,TravelML_r1_fp9_pr2,SUCCESS,51191,,0010,15:17:21.246,TravelML,TravelML_r1_fp9_pr2,SUCCESS,14705
0011,16:53:57.422,PlaceML,PlaceML_lp2_pr2_r1_vg1,SUCCESS,52608,,0011,15:17:21.370,PlaceML,PlaceML_lp2_pr2_r1_vg1,SUCCESS,14829
0012,16:54:13.100,TravelML,TravelML_r1_pr2_fp17,SUCCESS,68286,,0012,15:17:25.372,TravelML,TravelML_r1_pr2_fp17,SUCCESS,18831
0013,16:54:14.339,PickUpML,PickUpML_lp3_fp17_r1_vg1,SUCCESS,69525,,0013,15:17:25.611,PickUpML,PickUpML_lp3_fp17_r1_vg1,SUCCESS,19070
0014,16:54:29.644,TravelML,TravelML_r1_fp17_pr3,SUCCESS,84830,,0014,15:17:29.531,TravelML,TravelML_r1_fp17_pr3,SUCCESS,22990
0015,16:54:30.738,PlaceML,PlaceML_lp3_pr3_r1_vg1,SUCCESS,85924,,0015,15:17:29.824,PlaceML,PlaceML_lp3_pr3_r1_vg1,SUCCESS,23283
0016,16:54:44.643,TravelML,TravelML_r1_pr3_fp25,SUCCESS,99829,,0016,15:17:34.120,TravelML,TravelML_r1_pr3_fp25,SUCCESS,27579
0017,16:54:45.788,PickUpML,PickUpML_lp4_fp25_r1_vg1,SUCCESS,100974,,0017,15:17:34.245,PickUpML,PickUpML_lp4_fp25_r1_vg1,SUCCESS,27704
0018,16:54:59.900,TravelML,TravelML_r1_fp25_pr4,SUCCESS,115086,,0018,15:17:38.585,TravelML,TravelML_r1_fp25_pr4,SUCCESS,32045
0019,16:55:01.063,PlaceML,PlaceML_lp4_pr4_r1_vg1,SUCCESS,116249,,0019,15:17:38.719,PlaceML,PlaceML_lp4_pr4_r1_vg1,SUCCESS,32178
0020,16:55:14.147,TravelML,TravelML_r1_pr4_ep1,SUCCESS,129333,,0020,15:17:43.069,CloseToolML,CloseToolML_r1_vg1,SUCCESS,36528
0021,16:55:15.228,CloseToolML,CloseToolML_r1_vg1,SUCCESS,130414,,0021,15:17:43.192,TravelML,TravelML_r1_pr4_ep1,SUCCESS,36651
0022,16:55:16.471,DeequipML,DeequipML_r1_vg1_ep1,SUCCESS,131657,,0022,15:17:43.399,DeequipML,DeequipML_r1_vg1_ep1,SUCCESS,36858
0023,16:55:17.567,TravelML,TravelML_r1_ep1_ep2,SUCCESS,132753,,0023,15:17:43.524,TravelML,TravelML_r1_ep1_ep2,SUCCESS,36984
0024,16:55:18.645,EquipeML,EquipeML_r1_gg1_ep2,SUCCESS,133831,,0024,15:17:43.774,EquipeML,EquipeML_r1_gg1_ep2,SUCCESS,37233
0025,16:55:19.649,TravelML,TravelML_r1_ep2_pr1,SUCCESS,134835,,0025,15:17:43.905,TravelML,TravelML_r1_ep2_pr1,SUCCESS,37364
0026,16:55:20.653,InitializeML,InitializeML_r1_gg1,SUCCESS,135839,,0026,15:17:44.176,InitializeML,InitializeML_r1_gg1,SUCCESS,37635
0027,16:55:21.692,GluingML,GluingML_lp1_pr1_r1_gg1,SUCCESS,136878,,0027,15:17:44.347,GluingML,GluingML_lp1_pr1_r1_gg1,SUCCESS,37806
0028,16:55:35.259,TravelML,TravelML_r1_pr1_pr2,SUCCESS,150445,,0028,15:17:48.292,TravelML,TravelML_r1_pr1_pr2,SUCCESS,41751
0029,16:55:36.436,GluingML,GluingML_lp2_pr2_r1_gg1,SUCCESS,151622,,0029,15:17:48.546,GluingML,GluingML_lp2_pr2_r1_gg1,SUCCESS,42006
0030,16:55:50.140,TravelML,TravelML_r1_pr2_pr3,SUCCESS,165326,,0030,15:17:52.501,TravelML,TravelML_r1_pr2_pr3,SUCCESS,45960
0031,16:55:51.131,GluingML,GluingML_lp3_pr3_r1_gg1,SUCCESS,166317,,0031,15:17:52.706,GluingML,GluingML_lp3_pr3_r1_gg1,SUCCESS,46166
0032,16:56:04.820,TravelML,TravelML_r1_pr3_pr4,SUCCESS,180006,,0032,15:17:56.410,TravelML,TravelML_r1_pr3_pr4,SUCCESS,49869
0033,16:56:05.882,GluingML,GluingML_lp4_pr4_r1_gg1,SUCCESS,181068,,0033,15:17:56.657,GluingML,GluingML_lp4_pr4_r1_gg1,SUCCESS,50116
