CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
1,2026-02-19 19:12:13.579,ENHSP,cassette1,./Plannerinputs/static/problemC1.pddl,True,2777.48,6016.71,30,0,
2,2026-02-19 19:12:19.608,ENHSP,cassette2,./Plannerinputs/static/problemC2.pddl,True,1992.54,4439.75,30,0,
3,2026-02-19 19:12:24.050,ENHSP,cassette3,./Plannerinputs/static/problemC3.pddl,True,1534.70,3915.03,30,0,
4,2026-02-19 19:12:27.967,ENHSP,cassette4,./Plannerinputs/static/problemC4.pddl,True,1297.91,3545.27,30,0,
5,2026-02-19 19:12:31.733,FF,PickUpHL_lp1_fp1_r1,Plannerinputs/generated/problemPickUpHL_lp1_fp1_r1.pddl,True,2352.01,4460.40,5,0,
6,2026-02-19 19:12:36.297,FF,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,1681.76,3796.46,5,0,
7,2026-02-19 19:12:40.208,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,1695.31,3813.16,5,0,
8,2026-02-19 19:12:44.101,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,1577.12,3664.65,5,0,
9,2026-02-19 19:12:50.103,FF,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,1556.35,3639.09,3,0,
10,2026-02-19 19:12:53.784,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,1881.52,3953.53,3,0,
11,2026-02-19 19:12:57.770,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,1621.00,3697.32,3,0,
12,2026-02-19 19:13:01.716,FF,PlaceHL_lp1_pr1_r1,Plannerinputs/generated/problemPlaceHL_lp1_pr1_r1.pddl,True,1636.33,3711.69,2,0,
13,2026-02-19 19:13:06.211,FF,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,1565.79,3623.41,2,0,
14,2026-02-19 19:13:09.876,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,1598.97,3675.08,2,0,
15,2026-02-19 19:13:13.590,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,1549.19,3627.24,2,0,
16,2026-02-19 19:13:17.466,FF,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,1503.59,3611.39,8,0,
17,2026-02-19 19:13:21.990,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,2402.11,4482.74,3,0,
18,2026-02-19 19:13:26.559,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,1671.28,3739.68,3,0,
19,2026-02-19 19:13:30.497,FF,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,1750.41,3907.71,10,0,
20,2026-02-19 19:13:34.546,FF,PlaceHL_lp2_pr2_r1,Plannerinputs/generated/problemPlaceHL_lp2_pr2_r1.pddl,True,1573.66,3636.14,2,0,
21,2026-02-19 19:13:38.969,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,1527.74,3628.28,2,0,
22,2026-02-19 19:13:42.633,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,1532.47,3625.17,2,0,
23,2026-02-19 19:13:46.426,FF,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,1506.26,3603.24,8,0,
24,2026-02-19 19:13:50.134,FF,GluingPlateHL_lp2_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp2_pr2_r1.pddl,True,1693.93,3785.46,8,0,
25,2026-02-19 19:13:55.041,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,1546.54,3624.10,3,0,
26,2026-02-19 19:13:58.828,FF,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,1574.04,3692.34,11,0,
27,2026-02-19 19:14:02.599,FF,GluingPlateHL_lp2_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp2_pr2_r1.pddl,True,1694.18,3801.49,10,0,
28,2026-02-19 19:14:06.472,FF,PlaceHL_lp3_pr3_r1,Plannerinputs/generated/problemPlaceHL_lp3_pr3_r1.pddl,True,1513.96,3624.06,2,0,
29,2026-02-19 19:14:11.184,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,1655.33,3721.17,2,0,
30,2026-02-19 19:14:15.085,FF,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,1445.49,3561.30,8,0,
31,2026-02-19 19:14:18.680,FF,GluingPlateHL_lp2_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp2_pr2_r1.pddl,True,1431.06,3524.96,8,0,
32,2026-02-19 19:14:22.291,FF,GluingPlateHL_lp3_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp3_pr3_r1.pddl,True,1502.02,3615.75,8,0,
33,2026-02-19 19:14:27.153,FF,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,1623.13,3739.87,11,0,
34,2026-02-19 19:14:30.975,FF,GluingPlateHL_lp2_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp2_pr2_r1.pddl,True,1756.71,3948.46,11,0,
35,2026-02-19 19:14:35.025,FF,GluingPlateHL_lp3_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp3_pr3_r1.pddl,True,1758.12,3884.07,10,0,
36,2026-02-19 19:14:39.023,FF,PlaceHL_lp4_pr4_r1,Plannerinputs/generated/problemPlaceHL_lp4_pr4_r1.pddl,True,1434.92,3525.54,2,0,
37,2026-02-19 19:14:43.580,FF,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,1412.10,3556.73,8,0,
38,2026-02-19 19:14:47.184,FF,GluingPlateHL_lp2_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp2_pr2_r1.pddl,True,1476.11,3607.77,8,0,
39,2026-02-19 19:14:50.892,FF,GluingPlateHL_lp3_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp3_pr3_r1.pddl,True,1548.09,3719.43,8,0,
40,2026-02-19 19:14:54.695,FF,GluingPlateHL_lp4_pr4_r1,Plannerinputs/generated/problemGluingPlateHL_lp4_pr4_r1.pddl,True,1534.43,3638.07,8,0,
41,2026-02-19 19:15:02.386,FF,GluingPlateHL_lp2_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp2_pr2_r1.pddl,True,1356.59,3449.90,2,0,
42,2026-02-19 19:15:05.887,FF,GluingPlateHL_lp3_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp3_pr3_r1.pddl,True,1532.01,3609.95,2,0,
43,2026-02-19 19:15:09.584,FF,GluingPlateHL_lp4_pr4_r1,Plannerinputs/generated/problemGluingPlateHL_lp4_pr4_r1.pddl,True,1400.79,3533.79,2,0,
44,2026-02-19 19:15:13.382,FF,PickUpHL_b3_fp4_r1,Plannerinputs/generated/problemPickUpHL_b3_fp4_r1.pddl,True,1431.67,3580.91,8,0,
45,2026-02-19 19:15:18.145,FF,GluingPlateHL_lp3_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp3_pr3_r1.pddl,True,1498.92,3598.85,2,0,
46,2026-02-19 19:15:21.789,FF,GluingPlateHL_lp4_pr4_r1,Plannerinputs/generated/problemGluingPlateHL_lp4_pr4_r1.pddl,True,1537.64,3658.60,2,0,
47,2026-02-19 19:15:25.600,FF,PickUpHL_b3_fp4_r1,Plannerinputs/generated/problemPickUpHL_b3_fp4_r1.pddl,True,1554.14,3693.62,8,0,
48,2026-02-19 19:15:29.362,FF,PickUpHL_b9_fp12_r1,Plannerinputs/generated/problemPickUpHL_b9_fp12_r1.pddl,True,1551.34,3699.41,8,0,
49,2026-02-19 19:15:34.231,FF,GluingPlateHL_lp4_pr4_r1,Plannerinputs/generated/problemGluingPlateHL_lp4_pr4_r1.pddl,True,1444.64,3498.79,2,0,
50,2026-02-19 19:15:37.880,FF,PickUpHL_b3_fp4_r1,Plannerinputs/generated/problemPickUpHL_b3_fp4_r1.pddl,True,1447.95,3555.99,8,0,
51,2026-02-19 19:15:41.480,FF,PickUpHL_b9_fp12_r1,Plannerinputs/generated/problemPickUpHL_b9_fp12_r1.pddl,True,1493.11,3607.12,8,0,
52,2026-02-19 19:15:45.163,FF,PickUpHL_b15_fp20_r1,Plannerinputs/generated/problemPickUpHL_b15_fp20_r1.pddl,True,1396.30,3463.80,8,0,
53,2026-02-19 19:15:49.975,FF,PickUpHL_b3_fp4_r1,Plannerinputs/generated/problemPickUpHL_b3_fp4_r1.pddl,True,1505.63,3572.29,8,0,
54,2026-02-19 19:15:53.579,FF,PickUpHL_b9_fp12_r1,Plannerinputs/generated/problemPickUpHL_b9_fp12_r1.pddl,True,1497.00,3606.22,8,0,
55,2026-02-19 19:15:57.225,FF,PickUpHL_b15_fp20_r1,Plannerinputs/generated/problemPickUpHL_b15_fp20_r1.pddl,True,1625.21,3718.48,8,0,
56,2026-02-19 19:16:01.087,FF,PickUpHL_b21_fp28_r1,Plannerinputs/generated/problemPickUpHL_b21_fp28_r1.pddl,True,1485.65,3590.80,8,0,
