CmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,TotalTimeMs,ParentMLAction,Error
1,2026-04-13 17:10:47.056,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,1532.20,0.00,3596.74,,
2,2026-04-13 17:10:53.988,MoveToLL,MoveToLL_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,movel,initlocstick4,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5129.98,0.00,7180.28,,
3,2026-04-13 17:11:01.297,CloseGripperLL,CloseGripperLL_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,25.90,0.00,2071.52,,
4,2026-04-13 17:11:03.500,MoveToLL,MoveToLL_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5246.84,0.00,7265.63,,
5,2026-04-13 17:11:13.004,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10973.82,0.00,13000.83,,
6,2026-04-13 17:11:26.279,MoveToLL,MoveToLL_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,planned,finallocstick4,gripper,0.30,0.30,"0.001976;0.864944;-0.010000;3.072941;0.653174;0.000000","",True,19111.85,0.00,21156.39,,
7,2026-04-13 17:11:47.573,MoveToLL,MoveToLL_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10056.35,0.00,12089.87,,
8,2026-04-13 17:12:02.047,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup2,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10808.84,0.00,12852.24,,
9,2026-04-13 17:12:17.469,MoveToLL,MoveToLL_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,movel,initlocstick5,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,6428.28,0.00,8455.64,,
10,2026-04-13 17:12:26.066,CloseGripperLL,CloseGripperLL_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.10,0.00,2044.82,,
