ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTFlowNodeComposite,0,16,2,0,0
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,1,6,6,0,1
DecoratorExclusiveBranchGate,1,6,6,0,1
DecoratorLowestCostExecution,1,6,6,0,1
DecoratorPlanningComplete,2,14,13,1,2
DecoratorResetOnSubtreeSuccess,1,6,6,0,1
DecoratorRetryOnFailure,2,13,13,0,2
DynamicFlowNode,0,14,2,0,0
FlowNode,4,0,0,0,4
GenericBTAction,6,11,6,0,6
ServiceBatchEntry,0,8,8,0,1
ServicePDDLPlanning,0,14,14,0,2
ServicePlanningPhaseManager,0,8,8,0,1
ServiceSubtreeInject,6,11,11,0,6
TOTAL,24,133,101,1,28
