ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTFlowNodeComposite,0,66,2,0,0
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,5,31,31,0,5
DecoratorExclusiveBranchGate,5,31,31,0,5
DecoratorLowestCostExecution,5,31,31,0,5
DecoratorPlanningComplete,6,64,63,1,6
DecoratorResetOnSubtreeSuccess,5,31,31,0,5
DecoratorRetryOnFailure,6,63,63,0,6
DynamicFlowNode,0,64,6,0,0
FlowNode,8,0,0,0,8
GenericBTAction,31,57,31,0,31
ServiceBatchEntry,0,33,33,0,1
ServicePDDLPlanning,0,64,64,0,6
ServicePlanningPhaseManager,0,33,33,0,1
ServiceSubtreeInject,31,57,57,0,31
TOTAL,102,625,476,1,110
