Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2026-07-09 10:43:49.784,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1.46
2,2026-07-09 10:43:50.633,TravelML,TravelML_r1_pr2_ep1,STARTED,"ML action execution; DeltaTime: 0.100",850.20
3,2026-07-09 10:43:50.633,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",850.46
4,2026-07-09 10:43:50.633,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Action logic completed successfully",850.68
5,2026-07-09 10:43:50.637,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied on exit",854.31
6,2026-07-09 10:43:50.754,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",971.07
7,2026-07-09 10:43:50.756,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"ML action execution; DeltaTime: 0.100",973.34
8,2026-07-09 10:43:50.756,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",973.40
9,2026-07-09 10:43:50.756,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Action logic completed successfully",973.49
10,2026-07-09 10:43:50.758,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied on exit",975.15
11,2026-07-09 10:43:50.867,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1084.76
12,2026-07-09 10:43:50.870,InitializeML,InitializeML_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",1087.05
13,2026-07-09 10:43:50.870,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",1087.13
