Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2026-07-09 10:10:04.342,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",0.98
2,2026-07-09 10:10:05.247,TravelML,TravelML_r1_pr2_ep1,STARTED,"ML action execution; DeltaTime: 0.100",906.30
3,2026-07-09 10:10:05.248,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",906.81
4,2026-07-09 10:10:05.248,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Action logic completed successfully",907.04
5,2026-07-09 10:10:05.254,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied on exit",912.84
6,2026-07-09 10:10:05.364,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1022.71
7,2026-07-09 10:10:05.367,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"ML action execution; DeltaTime: 0.100",1026.00
8,2026-07-09 10:10:05.367,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",1026.06
9,2026-07-09 10:10:05.367,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Action logic completed successfully",1026.09
10,2026-07-09 10:10:05.369,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied on exit",1028.23
11,2026-07-09 10:10:05.489,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1148.24
12,2026-07-09 10:10:05.492,InitializeML,InitializeML_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",1150.69
13,2026-07-09 10:10:05.492,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",1150.75
14,2026-07-09 10:10:05.492,InitializeML,InitializeML_r1_vg1,COMPLETED,"Action logic completed successfully",1150.79
15,2026-07-09 10:10:05.493,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied on exit",1151.49
16,2026-07-09 10:10:05.598,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1256.54
17,2026-07-09 10:10:05.599,TravelML,TravelML_r1_ep1_fp1,STARTED,"ML action execution; DeltaTime: 0.100",1258.42
18,2026-07-09 10:10:05.599,TravelML,TravelML_r1_ep1_fp1,STARTED,"DeltaTime: 0.100",1258.45
19,2026-07-09 10:10:05.600,TravelML,TravelML_r1_ep1_fp1,COMPLETED,"Action logic completed successfully",1258.53
20,2026-07-09 10:10:05.601,TravelML,TravelML_r1_ep1_fp1,COMPLETED,"Effects applied on exit",1259.47
