ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTFlowNodeComposite,0,40,2,0,0
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,3,18,18,0,3
DecoratorExclusiveBranchGate,3,18,18,0,3
DecoratorLowestCostExecution,3,18,18,0,3
DecoratorPlanningComplete,4,38,37,1,4
DecoratorResetOnSubtreeSuccess,3,18,18,0,3
DecoratorRetryOnFailure,4,37,37,0,4
DynamicFlowNode,0,38,4,0,0
FlowNode,6,0,0,0,6
GenericBTAction,18,33,18,0,18
ServiceBatchEntry,0,20,20,0,1
ServicePDDLPlanning,0,38,38,0,4
ServicePlanningPhaseManager,0,20,20,0,1
ServiceSubtreeInject,18,33,33,0,18
TOTAL,62,369,281,1,68
