Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2026-05-04 13:21:55.374,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",1.59
2,2026-05-04 13:21:57.498,TravelML,TravelML_robot1_rpmanipulate_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rpmanipulate_rppickup; DeltaTime: 0.100",2125.54
3,2026-05-04 13:22:15.553,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Effects applied on exit",20180.60
4,2026-05-04 13:22:15.676,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",20302.89
5,2026-05-04 13:22:15.679,TravelML,TravelML_robot1_rpmanipulate_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rpmanipulate_rppickup; DeltaTime: 0.100",20306.42
6,2026-05-04 13:22:15.682,TravelML,TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Subtree execution completed successfully",20309.60
7,2026-05-04 13:22:15.682,TravelML,TravelML_robot1_rpmanipulate_rppickup,STARTED,"DeltaTime: 0.100",20309.77
8,2026-05-04 13:22:15.682,TravelML,TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Action logic completed successfully",20309.77
9,2026-05-04 13:22:15.690,TravelML,TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Effects applied on exit",20317.16
10,2026-05-04 13:22:15.800,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",20427.38
11,2026-05-04 13:22:15.806,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup; DeltaTime: 0.100",20433.53
12,2026-05-04 13:22:24.168,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",28795.60
13,2026-05-04 13:22:24.283,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",28910.33
14,2026-05-04 13:22:24.286,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup; DeltaTime: 0.100",28913.45
15,2026-05-04 13:22:26.356,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",30983.36
16,2026-05-04 13:22:26.464,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",31091.71
17,2026-05-04 13:22:26.467,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup; DeltaTime: 0.100",31094.62
18,2026-05-04 13:22:34.465,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",39092.44
19,2026-05-04 13:22:34.583,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",39210.56
20,2026-05-04 13:22:34.587,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup; DeltaTime: 0.100",39214.49
21,2026-05-04 13:22:34.589,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Subtree execution completed successfully",39216.79
