ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTFlowNodeComposite,956,1910,0,0,956
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,0,0,0,0,0
DecoratorExclusiveBranchGate,325,1926,1926,0,325
DecoratorExtraPDDLObjects,336,3846,3846,0,336
DecoratorFaultAbort,966,5436,5434,2,966
DecoratorGoalSatisfiedSkip,336,3846,3846,0,336
DecoratorHLFaultAbort,966,5434,5434,0,966
DecoratorHLFaultReplan,336,3846,3846,0,336
DecoratorHLStatePatch,336,3846,3846,0,336
DecoratorLLInputResolver,928,933,933,0,928
DecoratorLowestCostExecution,0,0,0,0,0
DecoratorParameterResolver,630,2218,2218,0,630
DecoratorPlanningComplete,966,5436,5436,0,966
DecoratorRecovery,630,1588,1588,0,630
DecoratorRegenerateFromBlackboard,336,3846,3846,0,336
DecoratorResetFailedPlan,336,3846,3846,0,336
DecoratorResetOnSubtreeSuccess,325,1952,1952,0,325
DecoratorRetryOnFailure,336,3846,3846,0,336
DummyCameraService,0,1910,1910,0,1
DynamicFlowNode,0,5460,957,4,966
GenericBTAction,995,4499,1899,9,995
ServiceLLSubtreeInject,0,1588,1588,0,640
ServicePDDLPlanning,0,3872,3848,24,336
ServicePlanningPhaseManager,0,0,0,0,0
ServiceSubtreeInject,355,1952,1952,0,355
TOTAL,10394,73036,63997,39,12337
