HLId,ActionName,PlannerType,MLActionCount,PlannerTimeMs,TotalTimeMs,Success
1,Layers1_2,ENHSP,33,2094.87,0.00,False
2,PickUpHL_stick4_initlocstick4_robot1_gripper1,ENHSP,2,2045.11,39329.76,True
3,StackHL_stick4_table1_robot1_finallocstick4_gripper1,ENHSP,2,1950.13,55839.85,True
4,PickUpHL_stick5_initlocstick5_robot1_gripper1,ENHSP,2,2095.98,38284.13,True
5,StackHL_stick5_table1_robot1_finallocstick5_gripper1,ENHSP,2,2063.02,54243.70,True
6,PickUpHL_stick2_initlocstick2_robot1_gripper1,ENHSP,2,2010.15,0.00,False
7,Layers1_2,ENHSP,31,2006.50,1818686.87,True
8,PickUpHL_stick5_initlocstick5_robot1_gripper1_dup2,ENHSP,1,2051.48,20140.48,True
9,StackHL_stick5_table1_robot1_finallocstick5_gripper1_dup2,ENHSP,2,2012.00,56593.49,True
10,PickUpHL_cube2_initloccube2_robot1_gripper1_dup2,ENHSP,2,2026.21,38232.13,True
11,StackHL_cube2_stick5_robot1_finalloccube2_gripper1_dup2,ENHSP,2,2010.07,55873.08,True
12,PickUpHL_stick1_initlocstick1_robot1_gripper1_dup2,ENHSP,2,2235.13,38928.79,True
13,StackHL_stick1_table1_robot1_finallocstick1_gripper1_dup2,ENHSP,2,2304.13,71131.78,True
14,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,ENHSP,2,2148.81,0.00,False
15,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,ENHSP,3,2314.74,59803.86,True
16,StackHL_stick3_table1_robot1_finallocstick3_gripper1_dup2,ENHSP,2,2165.25,51084.54,True
17,PickUpHL_stick2_initlocstick2_robot1_gripper1_dup2,ENHSP,2,2203.86,38929.38,True
18,StackHL_stick2_table1_robot1_finallocstick2_gripper1_dup2,ENHSP,2,2150.25,54763.22,True
19,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,ENHSP,2,2172.80,0.00,False
20,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Enhsp,0,0.00,0.00,False
21,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Enhsp,0,0.00,0.00,False
22,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Enhsp,0,0.00,0.00,False
23,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Enhsp,0,0.00,4060.84,False
24,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Enhsp,0,0.00,4041.76,False
25,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Enhsp,0,0.00,4064.10,False
26,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Enhsp,0,0.00,4063.75,False
