LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
1,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup,movej,rppickup,,True,15986.16
2,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,movel,initlocstick4,,True,6327.92
3,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,close_gripper,,,True,14.91
4,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,movel,rppickup,,True,5957.94
5,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate,movej,rpmanipulate,,True,14989.03
6,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,planned,finallocstick4,,True,19958.77
7,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,movej,rpmanipulate,,True,12197.28
8,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup2,movej,rppickup,,True,14947.34
9,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,movel,initlocstick5,,True,6338.54
10,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,close_gripper,,,True,12.96
11,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,movel,rppickup,,True,5954.24
12,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup2,movej,rpmanipulate,,True,14958.42
13,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,planned,finallocstick5,,True,17552.84
14,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,movej,rpmanipulate,,True,12862.53
15,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup3,movej,rppickup,,True,14959.71
16,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup_dup2,movel,initlocstick5,,True,5446.54
17,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup_dup2,close_gripper,,,True,1.05
18,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup_dup2,movel,rppickup,,True,5940.74
19,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup3,movej,rpmanipulate,,True,14957.75
20,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate_dup2,planned,finallocstick5,,True,19927.82
21,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate_dup2,movej,rpmanipulate,,True,12903.55
22,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup4,movej,rppickup,,True,14946.61
23,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,movel,initloccube2,,True,6314.75
24,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,close_gripper,,,True,12.85
25,MoveToLL,MoveToLL_moveToRetract_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,movel,rppickup,,True,5953.67
26,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup4,movej,rpmanipulate,,True,14978.70
27,MoveToLL,MoveToLL_moveToObjPosition_StackML_cube2_stick5_robot1_gripper1_finalloccube2_rpmanipulate,planned,finalloccube2,,True,19924.64
28,MoveToLL,MoveToLL_moveToRobotPosition_StackML_cube2_stick5_robot1_gripper1_finalloccube2_rpmanipulate,movej,rpmanipulate,,True,12195.85
29,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup5,movej,rppickup,,True,15429.22
30,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,movel,initlocstick1,,True,6303.38
31,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,close_gripper,,,True,13.67
32,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,movel,rppickup,,True,5973.10
33,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup5,movej,rpmanipulate,,True,15362.94
34,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,planned,finallocstick1,,True,23949.84
35,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,movej,rpmanipulate,,True,22697.62
36,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup6,movej,rppickup,,True,15495.58
37,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stickdummy_temploc2_robot1_gripper1_rppickup,movel,temploc2,,True,6327.68
38,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stickdummy_temploc2_robot1_gripper1_rppickup,close_gripper,,,True,12.43
39,MoveToLL,MoveToLL_moveToRetract_PickUpML_stickdummy_temploc2_robot1_gripper1_rppickup,movel,rppickup,,True,5947.87
40,MoveToLL,MoveToLL_moveToPutDownPosition_PutDownML_stickdummy_temploc3_robot1_gripper1_rppickup,movel,temploc3,,True,6313.48
41,OpenGripperLL,OpenGripperLL_openGripper_PutDownML_stickdummy_temploc3_robot1_gripper1_rppickup,open_gripper,,,True,13.43
42,MoveToLL,MoveToLL_moveToRetract_PutDownML_stickdummy_temploc3_robot1_gripper1_rppickup,movel,rppickup,,True,6672.41
43,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup_dup2,movel,initlocstick3,,True,6323.86
44,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup_dup2,close_gripper,,,True,14.18
45,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup_dup2,movel,rppickup,,True,5947.85
46,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup6,movej,rpmanipulate,,True,15418.34
47,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick3_table1_robot1_gripper1_finallocstick3_rpmanipulate,planned,finallocstick3,,True,15941.20
48,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick3_table1_robot1_gripper1_finallocstick3_rpmanipulate,movej,rpmanipulate,,True,10772.56
