MLId,ActionType,InstanceName,ParentHLAction,LLStepsTotal,LLStepsSucceeded,TotalTimeMs,Success
1,TravelML,TravelML_robot1_rpmanipulate_rppickup,PickUpHL_stick4_initlocstick4_robot1_gripper1,0,0,18192.43,True
2,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,PickUpHL_stick4_initlocstick4_robot1_gripper1,0,0,18788.51,True
3,TravelML,TravelML_robot1_rppickup_rpmanipulate,StackHL_stick4_table1_robot1_finallocstick4_gripper1,0,0,17158.55,True
4,StackML,StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,StackHL_stick4_table1_robot1_finallocstick4_gripper1,0,0,36442.23,True
5,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup2,PickUpHL_stick5_initlocstick5_robot1_gripper1,0,0,17102.19,True
6,PickUpML,PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,PickUpHL_stick5_initlocstick5_robot1_gripper1,0,0,18785.77,True
7,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup2,StackHL_stick5_table1_robot1_finallocstick5_gripper1,0,0,17117.45,True
8,StackML,StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,StackHL_stick5_table1_robot1_finallocstick5_gripper1,0,0,34775.43,True
9,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup3,PickUpHL_stick2_initlocstick2_robot1_gripper1,0,0,17153.17,True
10,PickUpML,PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup_dup2,PickUpHL_stick5_initlocstick5_robot1_gripper1_dup2,0,0,17915.21,True
11,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup3,StackHL_stick5_table1_robot1_finallocstick5_gripper1_dup2,0,0,17141.95,True
12,StackML,StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate_dup2,StackHL_stick5_table1_robot1_finallocstick5_gripper1_dup2,0,0,37145.15,True
13,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup4,PickUpHL_cube2_initloccube2_robot1_gripper1_dup2,0,0,17111.34,True
14,PickUpML,PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,PickUpHL_cube2_initloccube2_robot1_gripper1_dup2,0,0,18798.56,True
15,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup4,StackHL_cube2_stick5_robot1_finalloccube2_gripper1_dup2,0,0,17129.69,True
16,StackML,StackML_cube2_stick5_robot1_gripper1_finalloccube2_rpmanipulate,StackHL_cube2_stick5_robot1_finalloccube2_gripper1_dup2,0,0,36449.49,True
17,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup5,PickUpHL_stick1_initlocstick1_robot1_gripper1_dup2,0,0,17618.26,True
18,PickUpML,PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,PickUpHL_stick1_initlocstick1_robot1_gripper1_dup2,0,0,18779.05,True
19,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup5,StackHL_stick1_table1_robot1_finallocstick1_gripper1_dup2,0,0,17544.37,True
20,StackML,StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,StackHL_stick1_table1_robot1_finallocstick1_gripper1_dup2,0,0,50979.14,True
21,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup6,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,0,0,0.00,False
