CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Objects,InitPredicates,GoalPredicates,DomainActions,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
1,2026-05-04 13:21:53.045,ENHSP,Layers1_2,./Plannerinputs/static/Demonstrator/ProblemL1L2.pddl,19,1,25,5,True,2094.87,2270.34,33,0,
2,2026-05-04 13:21:55.384,ENHSP,PickUpHL_stick4_initlocstick4_robot1_gripper1,Plannerinputs/generated/problemPickUpHL_stick4_initlocstick4_robot1_gripper1.pddl,19,1,5,10,True,2045.11,2101.07,2,0,
3,2026-05-04 13:22:34.878,ENHSP,StackHL_stick4_table1_robot1_finallocstick4_gripper1,Plannerinputs/generated/problemStackHL_stick4_table1_robot1_finallocstick4_gripper1.pddl,19,1,8,10,True,1950.13,2003.81,2,0,
4,2026-05-04 13:23:30.867,ENHSP,PickUpHL_stick5_initlocstick5_robot1_gripper1,Plannerinputs/generated/problemPickUpHL_stick5_initlocstick5_robot1_gripper1.pddl,19,1,5,10,True,2095.98,2150.06,2,0,
5,2026-05-04 13:24:09.321,ENHSP,StackHL_stick5_table1_robot1_finallocstick5_gripper1,Plannerinputs/generated/problemStackHL_stick5_table1_robot1_finallocstick5_gripper1.pddl,19,1,8,10,True,2063.02,2111.80,2,0,
6,2026-05-04 13:25:03.724,ENHSP,PickUpHL_stick2_initlocstick2_robot1_gripper1,Plannerinputs/generated/problemPickUpHL_stick2_initlocstick2_robot1_gripper1.pddl,19,1,5,10,True,2010.15,2053.99,2,0,
7,2026-05-04 13:25:23.058,ENHSP,Layers1_2,./Plannerinputs/static/Demonstrator/ProblemL1L2.pddl,19,1,25,5,True,2006.50,2069.30,31,0,
8,2026-05-04 13:25:25.165,ENHSP,PickUpHL_stick5_initlocstick5_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick5_initlocstick5_robot1_gripper1_dup2.pddl,19,1,5,10,True,2051.48,2098.12,1,0,
9,2026-05-04 13:25:45.463,ENHSP,StackHL_stick5_table1_robot1_finallocstick5_gripper1_dup2,Plannerinputs/generated/problemStackHL_stick5_table1_robot1_finallocstick5_gripper1_dup2.pddl,19,1,8,10,True,2012.00,2071.63,2,0,
10,2026-05-04 13:26:42.224,ENHSP,PickUpHL_cube2_initloccube2_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_cube2_initloccube2_robot1_gripper1_dup2.pddl,19,1,5,10,True,2026.21,2074.36,2,0,
11,2026-05-04 13:27:20.590,ENHSP,StackHL_cube2_stick5_robot1_finalloccube2_gripper1_dup2,Plannerinputs/generated/problemStackHL_cube2_stick5_robot1_finalloccube2_gripper1_dup2.pddl,19,1,8,10,True,2010.07,2055.50,2,0,
12,2026-05-04 13:28:16.597,ENHSP,PickUpHL_stick1_initlocstick1_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick1_initlocstick1_robot1_gripper1_dup2.pddl,19,1,5,10,True,2235.13,2292.20,2,0,
13,2026-05-04 13:28:55.672,ENHSP,StackHL_stick1_table1_robot1_finallocstick1_gripper1_dup2,Plannerinputs/generated/problemStackHL_stick1_table1_robot1_finallocstick1_gripper1_dup2.pddl,19,1,8,10,True,2304.13,2357.61,2,0,
14,2026-05-04 13:30:06.948,ENHSP,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick3_initlocstick3_robot1_gripper1_dup2.pddl,19,1,5,10,True,2148.81,2205.00,2,0,
15,2026-05-04 13:30:26.970,ENHSP,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick3_initlocstick3_robot1_gripper1_dup2.pddl,19,1,5,10,True,2314.74,2376.40,3,0,
16,2026-05-04 13:31:26.989,ENHSP,StackHL_stick3_table1_robot1_finallocstick3_gripper1_dup2,Plannerinputs/generated/problemStackHL_stick3_table1_robot1_finallocstick3_gripper1_dup2.pddl,19,1,8,10,True,2165.25,2215.38,2,0,
17,2026-05-04 13:32:18.217,ENHSP,PickUpHL_stick2_initlocstick2_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick2_initlocstick2_robot1_gripper1_dup2.pddl,19,1,5,10,True,2203.86,2255.23,2,0,
18,2026-05-04 13:32:57.283,ENHSP,StackHL_stick2_table1_robot1_finallocstick2_gripper1_dup2,Plannerinputs/generated/problemStackHL_stick2_table1_robot1_finallocstick2_gripper1_dup2.pddl,19,1,8,10,True,2150.25,2226.21,2,0,
19,2026-05-04 13:33:52.217,ENHSP,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,True,2172.80,2228.15,2,0,
20,2026-05-04 13:34:20.824,Enhsp,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,False,0.00,0.00,0,0,
21,2026-05-04 13:34:21.003,Enhsp,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,False,0.00,0.00,0,0,
22,2026-05-04 13:34:25.195,Enhsp,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,False,0.00,0.00,0,0,
23,2026-05-04 13:34:29.367,Enhsp,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,False,0.00,4060.90,0,0,Failed to communicate with planning service: No connection could be made because the target machine actively refused it. (localhost:5000)
24,2026-05-04 13:34:33.557,Enhsp,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,False,0.00,4041.83,0,0,Failed to communicate with planning service: No connection could be made because the target machine actively refused it. (localhost:5000)
25,2026-05-04 13:34:37.719,Enhsp,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,False,0.00,4064.18,0,0,Failed to communicate with planning service: No connection could be made because the target machine actively refused it. (localhost:5000)
26,2026-05-04 13:34:41.904,Enhsp,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,False,0.00,4063.87,0,0,Failed to communicate with planning service: No connection could be made because the target machine actively refused it. (localhost:5000)
27,2026-05-04 13:34:46.091,Enhsp,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,False,0.00,4051.81,0,0,Failed to communicate with planning service: No connection could be made because the target machine actively refused it. (localhost:5000)
28,2026-05-04 13:34:50.264,Enhsp,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,False,0.00,4042.65,0,0,Failed to communicate with planning service: No connection could be made because the target machine actively refused it. (localhost:5000)
29,2026-05-04 13:34:54.426,Enhsp,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,False,0.00,4055.81,0,0,Failed to communicate with planning service: No connection could be made because the target machine actively refused it. (localhost:5000)
