CmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,TotalTimeMs,GapFromPrevMs,PlanningInGapMs,BTOverheadMs,ParentMLAction,Error
1,2026-05-04 13:21:57.505,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,15986.16,0.00,18042.80,0.00,0.00,0.00,,
2,2026-05-04 13:22:15.808,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,movel,initlocstick4,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,6327.92,0.00,8358.94,260.13,0.00,260.13,,
3,2026-05-04 13:22:24.289,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,14.91,0.00,2066.06,121.62,0.00,121.62,,
4,2026-05-04 13:22:26.468,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,movel,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5957.94,0.00,7995.82,113.75,0.00,113.75,,
5,2026-05-04 13:22:36.889,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,14989.03,0.00,17022.02,2424.75,0.00,2424.75,,
6,2026-05-04 13:22:54.163,MoveToLL,MoveToLL_moveToObjPosition_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,planned,finallocstick4,,0.30,0.30,"0.001976;0.864944;-0.010000;3.072941;0.653174;0.000000","",True,19958.77,0.00,21977.22,252.15,0.00,252.15,,
7,2026-05-04 13:23:16.260,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,movej,rpmanipulate,,0.30,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,12197.28,0.00,14218.38,119.71,0.00,119.71,,
8,2026-05-04 13:23:33.025,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup2,movej,rppickup,,0.30,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,14947.34,0.00,16975.55,2546.54,0.00,2546.54,,
9,2026-05-04 13:23:50.246,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,movel,initlocstick5,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,6338.54,0.00,8375.59,245.89,0.00,245.89,,
10,2026-05-04 13:23:58.754,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,12.96,0.00,2043.49,132.35,0.00,132.35,,
