Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2026-05-29 16:58:42.621,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",0.56
2,2026-05-29 16:58:44.713,TravelML,TravelML_robot1_rpmanipulate_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rpmanipulate_rppickup; DeltaTime: 0.100",2092.12
3,2026-05-29 16:58:50.865,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Effects applied on exit",8244.65
4,2026-05-29 16:58:50.888,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",8267.37
5,2026-05-29 16:58:50.889,TravelML,TravelML_robot1_rpmanipulate_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rpmanipulate_rppickup; DeltaTime: 0.100",8268.09
6,2026-05-29 16:58:50.889,TravelML,TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Subtree execution completed successfully",8268.69
7,2026-05-29 16:58:50.889,TravelML,TravelML_robot1_rpmanipulate_rppickup,STARTED,"DeltaTime: 0.100",8268.80
8,2026-05-29 16:58:50.889,TravelML,TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Action logic completed successfully",8268.80
9,2026-05-29 16:58:50.892,TravelML,TravelML_robot1_rpmanipulate_rppickup,COMPLETED,"Effects applied on exit",8271.25
10,2026-05-29 16:58:50.919,PickUpHL,PickUpHL_stick4_initlocstick4_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick4_initlocstick4_robot1_gripper1; DeltaTime: 0.100",8298.00
11,2026-05-29 16:58:50.920,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup; DeltaTime: 0.100",8299.60
12,2026-05-29 16:58:57.027,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",14406.30
