ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTFlowNodeComposite,960,2302,1,0,960
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,0,0,0,0,0
DecoratorExclusiveBranchGate,328,2299,2299,0,328
DecoratorExtraPDDLObjects,339,4611,4611,0,339
DecoratorFaultAbort,970,6585,6583,2,970
DecoratorGoalSatisfiedSkip,339,4611,4611,0,339
DecoratorHLFaultAbort,970,6583,6583,0,970
DecoratorHLFaultReplan,339,4611,4611,0,339
DecoratorHLStatePatch,339,4611,4611,0,339
DecoratorLLInputResolver,1322,1318,1318,0,1322
DecoratorLowestCostExecution,0,0,0,0,0
DecoratorPlanningComplete,970,6585,6585,0,970
DecoratorRecovery,631,1972,1972,0,631
DecoratorRegenerateFromBlackboard,339,4611,4611,0,339
DecoratorResetFailedPlan,339,4611,4611,0,339
DecoratorResetOnSubtreeSuccess,328,2301,2301,0,328
DecoratorRetryOnFailure,339,4611,4611,0,339
DummyCameraService,0,2302,2302,0,1
DynamicFlowNode,0,6585,966,0,970
GenericBTAction,987,5617,2299,0,987
ServiceLLSubtreeInject,0,1972,1972,0,632
ServicePDDLPlanning,0,4613,4613,0,339
ServicePlanningPhaseManager,0,0,0,0,0
ServiceSubtreeInject,355,2301,2301,0,355
TOTAL,10194,85612,74372,2,12136
