HLId,ActionName,PlannerType,MLActionCount,PlannerTimeMs,TotalTimeMs,Success
1,Layers1_2,ENHSP,33,4481.38,0.00,False
2,PickUpHL_stick4_initlocstick4_robot1_gripper1,ENHSP,2,2031.99,24326.05,True
3,StackHL_stick4_table1_robot1_finallocstick4_gripper1,ENHSP,2,1950.47,42514.31,True
4,PickUpHL_stick5_initlocstick5_robot1_gripper1,ENHSP,2,2035.34,32051.21,True
5,StackHL_stick5_table1_robot1_finallocstick5_gripper1,ENHSP,2,2067.90,41122.36,True
6,PickUpHL_stick2_initlocstick2_robot1_gripper1,ENHSP,2,2039.97,31460.42,True
7,StackHL_stick2_table1_robot1_finallocstick2_gripper1,ENHSP,2,2053.24,0.00,False
8,Layers1_2,ENHSP,29,2190.94,983190.24,True
9,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,ENHSP,2,2122.59,0.00,False
10,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,ENHSP,3,2193.48,53054.80,True
11,StackHL_stick3_table1_robot1_finallocstick3_gripper1_dup2,ENHSP,2,2237.28,42887.11,True
12,PickUpHL_stick1_initlocstick1_robot1_gripper1_dup2,ENHSP,2,2091.20,31498.62,True
13,StackHL_stick1_table1_robot1_finallocstick1_gripper1_dup2,ENHSP,2,2072.99,44131.20,True
14,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,ENHSP,2,2189.01,0.00,False
15,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,ENHSP,2,2099.23,25795.11,True
16,StackOnTwoHL_stick6_robot1_finallocstick6_stick1_stick2_layer1_layer2_gripper1,ENHSP,2,2146.74,44641.00,True
17,PickUpHL_stick7_initlocstick7_robot1_gripper1_dup2,ENHSP,2,2015.83,31664.47,True
18,StackOnTwoHL_stick7_robot1_finallocstick7_stick3_stick2_layer1_layer2_gripper1_dup2,ENHSP,2,2159.71,44120.15,True
19,PickUpHL_cube1_initloccube1_robot1_gripper1_dup2,ENHSP,2,2321.00,32638.66,True
20,StackHL_cube1_stick1_robot1_finalloccube1_gripper1_dup2,ENHSP,2,2148.12,43144.87,True
21,PickUpHL_stick8_initlocstick8_robot1_gripper1_dup2,ENHSP,2,2052.61,31346.43,True
22,StackOnTwoHL_stick8_robot1_finallocstick8_stick3_stick4_layer1_layer2_gripper1_dup2,ENHSP,2,2281.77,42492.96,True
23,PickUpHL_stick5_initlocstick5_robot1_gripper1_dup2,ENHSP,2,2174.71,31910.18,True
24,StackHL_stick5_table1_robot1_finallocstick5_gripper1_dup2,ENHSP,2,2235.44,41294.30,True
25,PickUpHL_cube2_initloccube2_robot1_gripper1_dup2,ENHSP,2,2229.65,31485.95,True
26,StackHL_cube2_stick5_robot1_finalloccube2_gripper1_dup2,ENHSP,2,2253.40,41865.31,True
27,PickUpHL_stick9_initlocstick9_robot1_gripper1_dup2,ENHSP,2,2234.27,31672.33,True
28,StackOnTwoHL_stick9_robot1_finallocstick9_stick4_stick5_layer1_layer2_gripper1,ENHSP,2,2500.12,42273.33,True
29,ChangeEndeffectorHL_robot1_gripper1_staplergun1_dup2,ENHSP,4,2318.74,48195.16,True
