LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
1,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup,plannedj,rppickup,,True,1504.01
2,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,plannedl,initlocstick4,,True,3901.84
3,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,close_gripper,,,True,1805.01
4,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,plannedl,rppickup,,True,3909.85
5,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate,plannedj,rpmanipulate,,True,11554.30
6,MoveToLL,MoveToLL_moveToStackPos_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,plannedj,finallocstick4,,True,6432.17
7,OpenGripperLL,OpenGripperLL_openGripper_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,open_gripper,,,True,2248.76
8,LiftLL,LiftLL_liftAfterStack_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,lift,,,True,3711.19
9,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,plannedj,rpmanipulate,,True,6127.50
10,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup2,plannedj,rppickup,,True,10934.15
11,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,plannedl,initlocstick5,,True,3874.37
12,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,close_gripper,,,True,1833.87
13,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,plannedl,rppickup,,True,4595.38
14,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup2,plannedj,rpmanipulate,,True,11289.99
15,MoveToLL,MoveToLL_moveToStackPos_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,plannedj,finallocstick5,,True,6154.99
16,OpenGripperLL,OpenGripperLL_openGripper_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,open_gripper,,,True,1683.56
17,LiftLL,LiftLL_liftAfterStack_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,lift,,,True,3685.82
18,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,plannedj,rpmanipulate,,True,5607.16
19,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup3,plannedj,rppickup,,True,11358.38
20,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,plannedl,initlocstick2,,True,3881.95
21,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,close_gripper,,,True,1722.58
22,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,plannedl,rppickup,,True,3890.54
23,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup3,plannedj,rpmanipulate,,True,11416.06
24,MoveToLL,MoveToLL_moveToStackPos_StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,plannedj,finallocstick2,,True,7535.78
