MLId,ActionType,InstanceName,ParentHLAction,LLStepsTotal,LLStepsSucceeded,TotalTimeMs,Success
1,TravelML,TravelML_robot1_rpmanipulate_rppickup,PickUpHL_stick4_initlocstick4_robot1_gripper1,0,0,6179.63,True
2,PickUpML,PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,PickUpHL_stick4_initlocstick4_robot1_gripper1,0,0,16023.07,True
3,TravelML,TravelML_robot1_rppickup_rpmanipulate,StackHL_stick4_table1_robot1_finallocstick4_gripper1,0,0,13665.37,True
4,StackML,StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,StackHL_stick4_table1_robot1_finallocstick4_gripper1,0,0,26831.77,True
5,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup2,PickUpHL_stick5_initlocstick5_robot1_gripper1,0,0,13082.48,True
6,PickUpML,PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup,PickUpHL_stick5_initlocstick5_robot1_gripper1,0,0,16859.36,True
7,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup2,StackHL_stick5_table1_robot1_finallocstick5_gripper1,0,0,13410.80,True
8,StackML,StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate,StackHL_stick5_table1_robot1_finallocstick5_gripper1,0,0,25570.98,True
9,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup3,PickUpHL_stick2_initlocstick2_robot1_gripper1,0,0,13488.47,True
10,PickUpML,PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,PickUpHL_stick2_initlocstick2_robot1_gripper1,0,0,15858.93,True
11,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup3,StackHL_stick2_table1_robot1_finallocstick2_gripper1,0,0,13544.76,True
12,StackML,StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,StackHL_stick2_table1_robot1_finallocstick2_gripper1,0,0,0.00,False
13,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup4,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,0,0,0.00,False
14,PickUpML,PickUpML_stickdummy_temploc2_robot1_gripper1_rppickup,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,0,0,17038.01,True
15,PutDownML,PutDownML_stickdummy_temploc3_robot1_gripper1_rppickup,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,0,0,17437.51,True
16,PickUpML,PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup_dup2,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,0,0,16300.44,True
17,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup4,StackHL_stick3_table1_robot1_finallocstick3_gripper1_dup2,0,0,13376.56,True
18,StackML,StackML_stick3_table1_robot1_gripper1_finallocstick3_rpmanipulate,StackHL_stick3_table1_robot1_finallocstick3_gripper1_dup2,0,0,27198.53,True
19,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup5,PickUpHL_stick1_initlocstick1_robot1_gripper1_dup2,0,0,13462.42,True
20,PickUpML,PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,PickUpHL_stick1_initlocstick1_robot1_gripper1_dup2,0,0,15864.96,True
21,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup5,StackHL_stick1_table1_robot1_finallocstick1_gripper1_dup2,0,0,13554.03,True
22,StackML,StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,StackHL_stick1_table1_robot1_finallocstick1_gripper1_dup2,0,0,28424.81,True
23,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup6,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,0,0,13742.52,True
24,PickUpML,PickUpML_stick6_initlocstick6_robot1_gripper1_rppickup,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,0,0,0.00,False
