CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Objects,InitPredicates,GoalPredicates,DomainActions,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
1,2026-05-29 16:58:37.910,ENHSP,Layers1_2,./Plannerinputs/static/Demonstrator/ProblemL1L2.pddl,19,1,25,5,True,4481.38,4660.31,33,0,
2,2026-05-29 16:58:42.630,ENHSP,PickUpHL_stick4_initlocstick4_robot1_gripper1,Plannerinputs/generated/problemPickUpHL_stick4_initlocstick4_robot1_gripper1.pddl,19,1,5,10,True,2031.99,2079.28,2,0,
3,2026-05-29 16:59:07.000,ENHSP,StackHL_stick4_table1_robot1_finallocstick4_gripper1,Plannerinputs/generated/problemStackHL_stick4_table1_robot1_finallocstick4_gripper1.pddl,19,1,8,10,True,1950.47,1988.91,2,0,
4,2026-05-29 16:59:49.564,ENHSP,PickUpHL_stick5_initlocstick5_robot1_gripper1,Plannerinputs/generated/problemPickUpHL_stick5_initlocstick5_robot1_gripper1.pddl,19,1,5,10,True,2035.34,2079.34,2,0,
5,2026-05-29 17:00:21.653,ENHSP,StackHL_stick5_table1_robot1_finallocstick5_gripper1,Plannerinputs/generated/problemStackHL_stick5_table1_robot1_finallocstick5_gripper1.pddl,19,1,8,10,True,2067.90,2113.34,2,0,
6,2026-05-29 17:01:02.819,ENHSP,PickUpHL_stick2_initlocstick2_robot1_gripper1,Plannerinputs/generated/problemPickUpHL_stick2_initlocstick2_robot1_gripper1.pddl,19,1,5,10,True,2039.97,2084.43,2,0,
7,2026-05-29 17:01:34.323,ENHSP,StackHL_stick2_table1_robot1_finallocstick2_gripper1,Plannerinputs/generated/problemStackHL_stick2_table1_robot1_finallocstick2_gripper1.pddl,19,1,8,10,True,2053.24,2098.46,2,0,
8,2026-05-29 17:02:03.615,ENHSP,Layers1_2,./Plannerinputs/static/Demonstrator/ProblemL1L2.pddl,19,1,25,5,True,2190.94,2242.61,29,0,
9,2026-05-29 17:02:05.885,ENHSP,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick3_initlocstick3_robot1_gripper1_dup2.pddl,19,1,5,10,True,2122.59,2168.88,2,0,
10,2026-05-29 17:02:16.579,ENHSP,PickUpHL_stick3_initlocstick3_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick3_initlocstick3_robot1_gripper1_dup2.pddl,19,1,5,10,True,2193.48,2234.97,3,0,
11,2026-05-29 17:03:09.661,ENHSP,StackHL_stick3_table1_robot1_finallocstick3_gripper1_dup2,Plannerinputs/generated/problemStackHL_stick3_table1_robot1_finallocstick3_gripper1_dup2.pddl,19,1,8,10,True,2237.28,2280.92,2,0,
12,2026-05-29 17:03:52.580,ENHSP,PickUpHL_stick1_initlocstick1_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick1_initlocstick1_robot1_gripper1_dup2.pddl,19,1,5,10,True,2091.20,2139.10,2,0,
13,2026-05-29 17:04:24.102,ENHSP,StackHL_stick1_table1_robot1_finallocstick1_gripper1_dup2,Plannerinputs/generated/problemStackHL_stick1_table1_robot1_finallocstick1_gripper1_dup2.pddl,19,1,8,10,True,2072.99,2120.66,2,0,
14,2026-05-29 17:05:08.257,ENHSP,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,True,2189.01,2229.74,2,0,
15,2026-05-29 17:05:31.061,ENHSP,PickUpHL_stick6_initlocstick6_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick6_initlocstick6_robot1_gripper1_dup2.pddl,19,1,5,10,True,2099.23,2144.37,2,0,
16,2026-05-29 17:05:56.915,ENHSP,StackOnTwoHL_stick6_robot1_finallocstick6_stick1_stick2_layer1_layer2_gripper1,Plannerinputs/generated/problemStackOnTwoHL_stick6_robot1_finallocstick6_stick1_stick2_layer1_layer2_gripper1.pddl,19,1,10,10,True,2146.74,2193.96,2,0,
17,2026-05-29 17:06:41.582,ENHSP,PickUpHL_stick7_initlocstick7_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick7_initlocstick7_robot1_gripper1_dup2.pddl,19,1,5,10,True,2015.83,2060.93,2,0,
18,2026-05-29 17:07:13.268,ENHSP,StackOnTwoHL_stick7_robot1_finallocstick7_stick3_stick2_layer1_layer2_gripper1_dup2,Plannerinputs/generated/problemStackOnTwoHL_stick7_robot1_finallocstick7_stick3_stick2_layer1_layer2_gripper1_dup2.pddl,19,1,10,10,True,2159.71,2204.99,2,0,
19,2026-05-29 17:07:57.409,ENHSP,PickUpHL_cube1_initloccube1_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_cube1_initloccube1_robot1_gripper1_dup2.pddl,19,1,5,10,True,2321.00,2361.50,2,0,
20,2026-05-29 17:08:30.067,ENHSP,StackHL_cube1_stick1_robot1_finalloccube1_gripper1_dup2,Plannerinputs/generated/problemStackHL_cube1_stick1_robot1_finalloccube1_gripper1_dup2.pddl,19,1,8,10,True,2148.12,2257.43,2,0,
21,2026-05-29 17:09:13.232,ENHSP,PickUpHL_stick8_initlocstick8_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick8_initlocstick8_robot1_gripper1_dup2.pddl,19,1,5,10,True,2052.61,2093.50,2,0,
22,2026-05-29 17:09:44.600,ENHSP,StackOnTwoHL_stick8_robot1_finallocstick8_stick3_stick4_layer1_layer2_gripper1_dup2,Plannerinputs/generated/problemStackOnTwoHL_stick8_robot1_finallocstick8_stick3_stick4_layer1_layer2_gripper1_dup2.pddl,19,1,10,10,True,2281.77,2325.94,2,0,
23,2026-05-29 17:10:27.142,ENHSP,PickUpHL_stick5_initlocstick5_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick5_initlocstick5_robot1_gripper1_dup2.pddl,19,1,5,10,True,2174.71,2215.26,2,0,
24,2026-05-29 17:10:59.128,ENHSP,StackHL_stick5_table1_robot1_finallocstick5_gripper1_dup2,Plannerinputs/generated/problemStackHL_stick5_table1_robot1_finallocstick5_gripper1_dup2.pddl,19,1,8,10,True,2235.44,2280.86,2,0,
25,2026-05-29 17:11:40.477,ENHSP,PickUpHL_cube2_initloccube2_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_cube2_initloccube2_robot1_gripper1_dup2.pddl,19,1,5,10,True,2229.65,2294.63,2,0,
26,2026-05-29 17:12:12.022,ENHSP,StackHL_cube2_stick5_robot1_finalloccube2_gripper1_dup2,Plannerinputs/generated/problemStackHL_cube2_stick5_robot1_finalloccube2_gripper1_dup2.pddl,19,1,8,10,True,2253.40,2564.18,2,0,
27,2026-05-29 17:12:53.957,ENHSP,PickUpHL_stick9_initlocstick9_robot1_gripper1_dup2,Plannerinputs/generated/problemPickUpHL_stick9_initlocstick9_robot1_gripper1_dup2.pddl,19,1,5,10,True,2234.27,2287.69,2,0,
28,2026-05-29 17:13:25.762,ENHSP,StackOnTwoHL_stick9_robot1_finallocstick9_stick4_stick5_layer1_layer2_gripper1,Plannerinputs/generated/problemStackOnTwoHL_stick9_robot1_finallocstick9_stick4_stick5_layer1_layer2_gripper1.pddl,19,1,10,10,True,2500.12,2561.31,2,0,
29,2026-05-29 17:14:08.098,ENHSP,ChangeEndeffectorHL_robot1_gripper1_staplergun1_dup2,Plannerinputs/generated/problemChangeEndeffectorHL_robot1_gripper1_staplergun1_dup2.pddl,19,1,2,10,True,2318.74,2358.59,4,0,
30,2026-05-29 17:14:56.337,ENHSP,NailingHL_stick8_stick4_robot1_staplergun1_dup2,Plannerinputs/generated/problemNailingHL_stick8_stick4_robot1_staplergun1_dup2.pddl,19,1,2,10,True,2092.59,2139.96,3,0,
31,2026-05-29 17:15:29.487,ENHSP,NailingHL_stick9_stick4_robot1_staplergun1_dup2,Plannerinputs/generated/problemNailingHL_stick9_stick4_robot1_staplergun1_dup2.pddl,19,1,2,10,True,2290.43,2335.72,1,0,
32,2026-05-29 17:15:48.654,ENHSP,NailingHL_stick9_stick5_robot1_staplergun1_dup2,Plannerinputs/generated/problemNailingHL_stick9_stick5_robot1_staplergun1_dup2.pddl,19,1,2,10,True,2032.52,2073.97,1,0,
33,2026-05-29 17:16:06.360,ENHSP,NailingHL_cube1_stick1_robot1_staplergun1_dup2,Plannerinputs/generated/problemNailingHL_cube1_stick1_robot1_staplergun1_dup2.pddl,19,1,2,10,True,2132.37,2172.37,1,0,
34,2026-05-29 17:16:26.311,ENHSP,NailingHL_cube2_stick5_robot1_staplergun1_dup2,Plannerinputs/generated/problemNailingHL_cube2_stick5_robot1_staplergun1_dup2.pddl,19,1,2,10,True,2169.78,2212.12,1,0,
35,2026-05-29 17:16:47.074,ENHSP,NailingHL_stick6_stick1_robot1_staplergun1_dup2,Plannerinputs/generated/problemNailingHL_stick6_stick1_robot1_staplergun1_dup2.pddl,19,1,2,10,True,2299.60,2344.11,1,0,
36,2026-05-29 17:17:08.519,ENHSP,NailingHL_stick6_stick2_robot1_staplergun1_dup2,Plannerinputs/generated/problemNailingHL_stick6_stick2_robot1_staplergun1_dup2.pddl,19,1,2,10,True,2104.67,2231.96,1,0,
37,2026-05-29 17:17:28.454,ENHSP,NailingHL_stick7_stick2_robot1_staplergun1_dup2,Plannerinputs/generated/problemNailingHL_stick7_stick2_robot1_staplergun1_dup2.pddl,19,1,2,10,True,2204.74,2248.40,1,0,
38,2026-05-29 17:17:48.405,ENHSP,NailingHL_stick7_stick3_robot1_staplergun1_dup2,Plannerinputs/generated/problemNailingHL_stick7_stick3_robot1_staplergun1_dup2.pddl,19,1,2,10,True,2169.32,2211.59,1,0,
39,2026-05-29 17:18:07.585,ENHSP,NailingHL_stick8_stick3_robot1_staplergun1_dup2,Plannerinputs/generated/problemNailingHL_stick8_stick3_robot1_staplergun1_dup2.pddl,19,1,2,10,True,2043.29,2088.17,1,0,
40,2026-05-29 17:18:26.807,ENHSP,Layers3_4,./Plannerinputs/static/Demonstrator/ProblemL3L4.pddl,0,1,40,5,True,3052.62,3105.35,36,0,
