CmdNumber,IsSubStep,ParentCmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,PointCount,NominalDurationSec,TotalTimeMs,GapFromPrevMs,PlanningInGapMs,BTOverheadMs,ParentMLAction,Error
1,False,,2026-05-29 16:58:44.716,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,1504.01,16.80,4,0.269,6145.62,0.00,0.00,0.00,,
2,False,,2026-05-29 16:58:50.921,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,plannedl,initlocstick4,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3901.84,33.20,16,1.413,6104.88,59.02,0.00,59.02,,
3,False,,2026-05-29 16:58:57.055,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1805.01,0.00,0,0.000,3828.40,29.29,0.00,29.29,,
4,False,,2026-05-29 16:59:00.913,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick4_initlocstick4_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3909.85,15.30,16,1.400,6003.87,29.07,0.00,29.07,,
5,False,,2026-05-29 16:59:08.990,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11554.30,14.87,51,4.916,13648.71,2073.28,0.00,2073.28,,
6,False,,2026-05-29 16:59:22.671,MoveToLL,MoveToLL_moveToStackPos_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,plannedj,finallocstick4,,1.00,1.00,"0.001976;0.864944;-0.010000;0.000000;-3.141590;0.000000","",True,6432.17,16.59,25,2.336,8516.86,32.45,0.00,32.45,,
7,False,,2026-05-29 16:59:31.208,OpenGripperLL,OpenGripperLL_openGripper_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,open_gripper,,,0.50,1.00,"","",True,2248.76,0.00,0,0.000,4276.54,20.53,0.00,20.53,,
8,False,,2026-05-29 16:59:35.501,LiftLL,LiftLL_liftAfterStack_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,lift,,,0.50,1.00,"","",True,3711.19,0.00,0,0.000,5734.05,16.07,0.00,16.07,,
9,False,,2026-05-29 16:59:41.255,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick4_table1_robot1_gripper1_finallocstick4_rpmanipulate,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,6127.50,15.72,25,2.335,8233.37,20.32,0.00,20.32,,
10,False,,2026-05-29 16:59:51.644,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup2,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,10934.15,16.29,50,4.859,13064.18,2155.19,0.00,2155.19,,
