CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
1,2026-07-06 17:12:41.052,ENHSP,cassette1,./Plannerinputs/static/problemC1.pddl,True,1263.42,1448.33,31,0,
2,2026-07-06 17:12:42.502,ENHSP,cassette2,./Plannerinputs/static/problemC2.pddl,True,1321.65,1426.74,31,0,
3,2026-07-06 17:12:43.929,ENHSP,cassette3,./Plannerinputs/static/problemC3.pddl,True,1310.12,1420.06,31,0,
4,2026-07-06 17:12:45.350,ENHSP,cassette4,./Plannerinputs/static/problemC4.pddl,True,1290.05,1394.91,31,0,
5,2026-07-06 17:12:46.793,FF,PickUpHL_lp1_fp1_r1,Plannerinputs/generated/problemPickUpHL_lp1_fp1_r1.pddl,True,269.74,340.72,5,0,
6,2026-07-06 17:12:47.167,FF,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,280.56,347.80,5,0,
7,2026-07-06 17:12:47.554,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,271.53,342.66,5,0,
8,2026-07-06 17:12:47.933,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,274.01,342.09,5,0,
9,2026-07-06 17:12:49.160,FF,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,279.78,352.39,3,0,
10,2026-07-06 17:12:49.519,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,287.56,350.86,3,0,
11,2026-07-06 17:12:49.878,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,278.70,345.98,3,0,
12,2026-07-06 17:12:50.384,FF,PlaceHL_lp1_pr1_r1,Plannerinputs/generated/problemPlaceHL_lp1_pr1_r1.pddl,True,271.93,333.57,2,0,
13,2026-07-06 17:12:51.029,FF,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,276.98,335.75,2,0,
14,2026-07-06 17:12:51.396,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,266.43,322.22,2,0,
15,2026-07-06 17:12:51.726,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,267.94,340.14,2,0,
16,2026-07-06 17:12:52.214,FF,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,290.78,362.85,8,0,
17,2026-07-06 17:12:52.883,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,279.41,341.89,3,0,
