Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2026-07-01 14:58:58.435,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1.09
2,2026-07-01 14:59:01.989,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",3555.16
3,2026-07-01 14:59:05.627,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",7192.33
4,2026-07-01 14:59:06.023,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",7589.17
5,2026-07-01 14:59:06.496,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",8061.93
6,2026-07-01 14:59:06.499,TravelML,TravelML_r1_pr2_ep1,STARTED,"ML action execution; DeltaTime: 0.100",8064.52
7,2026-07-01 14:59:06.499,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",8064.81
8,2026-07-01 14:59:06.499,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Action logic completed successfully",8064.89
9,2026-07-01 14:59:06.504,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied on exit",8070.00
10,2026-07-01 14:59:06.511,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",8076.68
11,2026-07-01 14:59:06.516,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",8081.92
12,2026-07-01 14:59:06.524,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8089.66
13,2026-07-01 14:59:06.646,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",8211.59
14,2026-07-01 14:59:06.650,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"ML action execution; DeltaTime: 0.100",8215.99
15,2026-07-01 14:59:06.650,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",8216.12
16,2026-07-01 14:59:06.651,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Action logic completed successfully",8216.37
17,2026-07-01 14:59:06.656,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied on exit",8221.40
18,2026-07-01 14:59:06.662,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",8228.21
19,2026-07-01 14:59:06.668,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",8234.15
20,2026-07-01 14:59:06.675,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8240.74
21,2026-07-01 14:59:06.797,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",8363.05
22,2026-07-01 14:59:06.802,TravelML,TravelML_r1_ep1_fp1,STARTED,"ML action execution; DeltaTime: 0.100",8367.81
23,2026-07-01 14:59:06.802,TravelML,TravelML_r1_ep1_fp1,STARTED,"DeltaTime: 0.100",8367.85
24,2026-07-01 14:59:06.802,TravelML,TravelML_r1_ep1_fp1,COMPLETED,"Action logic completed successfully",8367.88
25,2026-07-01 14:59:06.805,TravelML,TravelML_r1_ep1_fp1,COMPLETED,"Effects applied on exit",8370.35
26,2026-07-01 14:59:06.810,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",8376.14
27,2026-07-01 14:59:06.817,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",8382.32
28,2026-07-01 14:59:06.823,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8389.26
29,2026-07-01 14:59:06.940,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",8506.06
30,2026-07-01 14:59:06.944,InitializeML,InitializeML_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",8509.89
31,2026-07-01 14:59:06.944,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",8509.96
32,2026-07-01 14:59:06.944,InitializeML,InitializeML_r1_vg1,COMPLETED,"Action logic completed successfully",8509.99
33,2026-07-01 14:59:06.947,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied on exit",8513.24
34,2026-07-01 14:59:06.954,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",8519.61
35,2026-07-01 14:59:06.961,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",8527.06
36,2026-07-01 14:59:06.969,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8534.80
37,2026-07-01 14:59:07.089,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",8654.74
38,2026-07-01 14:59:07.092,PickUpML,PickUpML_lp1_fp1_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",8658.05
39,2026-07-01 14:59:07.092,PickUpML,PickUpML_lp1_fp1_r1_vg1,STARTED,"DeltaTime: 0.100",8658.08
40,2026-07-01 14:59:07.092,PickUpML,PickUpML_lp1_fp1_r1_vg1,COMPLETED,"Action logic completed successfully",8658.13
41,2026-07-01 14:59:07.116,PickUpML,PickUpML_lp1_fp1_r1_vg1,COMPLETED,"Effects applied on exit",8682.26
42,2026-07-01 14:59:07.123,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",8688.91
43,2026-07-01 14:59:07.128,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",8694.23
44,2026-07-01 14:59:07.134,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",8699.66
45,2026-07-01 14:59:07.248,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",8813.40
46,2026-07-01 14:59:07.250,PickUpHL,PickUpHL_lp1_fp1_r1,COMPLETED,"Subtree execution completed successfully",8815.87
47,2026-07-01 14:59:07.250,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"DeltaTime: 0.100",8815.90
48,2026-07-01 14:59:07.250,PickUpHL,PickUpHL_lp1_fp1_r1,COMPLETED,"Action logic completed successfully",8815.93
49,2026-07-01 14:59:07.260,PickUpHL,PickUpHL_lp1_fp1_r1,COMPLETED,"Effects applied on exit",8825.42
50,2026-07-01 14:59:07.265,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",8830.63
51,2026-07-01 14:59:10.759,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",12324.42
52,2026-07-01 14:59:11.112,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",12677.36
53,2026-07-01 14:59:11.593,PlaceHL,PlaceHL_lp1_pr1_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PlaceHL_lp1_pr1_r1; DeltaTime: 0.100",13158.87
54,2026-07-01 14:59:16.126,TravelML,TravelML_r1_fp1_pr1,STARTED,"ML action execution; DeltaTime: 0.100",17692.25
55,2026-07-01 14:59:16.126,TravelML,TravelML_r1_fp1_pr1,STARTED,"DeltaTime: 0.100",17692.28
56,2026-07-01 14:59:16.126,TravelML,TravelML_r1_fp1_pr1,COMPLETED,"Action logic completed successfully",17692.30
57,2026-07-01 14:59:16.129,TravelML,TravelML_r1_fp1_pr1,COMPLETED,"Effects applied on exit",17695.08
58,2026-07-01 14:59:16.137,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",17703.16
59,2026-07-01 14:59:16.143,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",17709.25
60,2026-07-01 14:59:16.149,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",17714.64
61,2026-07-01 14:59:16.267,PlaceHL,PlaceHL_lp1_pr1_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PlaceHL_lp1_pr1_r1; DeltaTime: 0.100",17832.32
62,2026-07-01 14:59:16.269,PlaceML,PlaceML_lp1_pr1_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",17834.71
63,2026-07-01 14:59:16.269,PlaceML,PlaceML_lp1_pr1_r1_vg1,STARTED,"DeltaTime: 0.100",17834.78
64,2026-07-01 14:59:16.269,PlaceML,PlaceML_lp1_pr1_r1_vg1,COMPLETED,"Action logic completed successfully",17834.81
65,2026-07-01 14:59:16.272,PlaceML,PlaceML_lp1_pr1_r1_vg1,COMPLETED,"Effects applied on exit",17837.56
66,2026-07-01 14:59:16.280,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",17845.41
67,2026-07-01 14:59:16.285,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",17851.18
68,2026-07-01 14:59:16.291,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",17856.96
69,2026-07-01 14:59:16.416,PlaceHL,PlaceHL_lp1_pr1_r1,STARTED,"HL subtree tick: LAMA-FIRST_Default_DynamicFlow_PlaceHL_lp1_pr1_r1; DeltaTime: 0.100",17982.23
