CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
1,2026-07-01 14:58:52.278,ENHSP,cassette1,./Plannerinputs/static/problemC1.pddl,True,1492.84,1753.68,31,0,
2,2026-07-01 14:58:54.034,ENHSP,cassette2,./Plannerinputs/static/problemC2.pddl,True,1378.72,1480.38,31,0,
3,2026-07-01 14:58:55.515,ENHSP,cassette3,./Plannerinputs/static/problemC3.pddl,True,1375.28,1449.45,31,0,
4,2026-07-01 14:58:56.965,ENHSP,cassette4,./Plannerinputs/static/problemC4.pddl,True,1328.79,1419.21,31,0,
5,2026-07-01 14:58:58.441,LAMA-FIRST,PickUpHL_lp1_fp1_r1,Plannerinputs/generated/problemPickUpHL_lp1_fp1_r1.pddl,True,3449.50,3505.87,5,0,
6,2026-07-01 14:59:01.992,LAMA-FIRST,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,3552.01,3596.86,6,0,
7,2026-07-01 14:59:05.630,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,290.93,351.40,5,0,
8,2026-07-01 14:59:06.026,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,293.26,348.43,5,0,
9,2026-07-01 14:59:07.267,LAMA-FIRST,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,3456.90,3487.20,3,0,
10,2026-07-01 14:59:10.761,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,288.98,345.12,3,0,
11,2026-07-01 14:59:11.116,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,279.68,331.99,3,0,
12,2026-07-01 14:59:11.622,LAMA-FIRST,PlaceHL_lp1_pr1_r1,Plannerinputs/generated/problemPlaceHL_lp1_pr1_r1.pddl,True,4468.69,4501.95,2,0,
13,2026-07-01 14:59:16.469,LAMA-FIRST,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,3500.23,3534.63,2,0,
14,2026-07-01 14:59:20.038,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,305.92,356.42,2,0,
15,2026-07-01 14:59:20.406,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,284.62,335.00,2,0,
16,2026-07-01 14:59:20.921,LAMA-FIRST,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,3566.93,3607.76,8,0,
17,2026-07-01 14:59:24.865,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,287.26,332.08,3,0,
18,2026-07-01 14:59:25.234,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,281.20,329.30,3,0,
19,2026-07-01 14:59:25.682,LAMA-FIRST,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,3635.35,3684.65,9,0,
20,2026-07-01 14:59:29.435,LAMA-FIRST,PlaceHL_lp2_pr2_r1,Plannerinputs/generated/problemPlaceHL_lp2_pr2_r1.pddl,True,4700.76,4727.51,2,0,
21,2026-07-01 14:59:34.488,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,284.76,358.76,2,0,
22,2026-07-01 14:59:34.855,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,291.04,340.96,2,0,
23,2026-07-01 14:59:35.345,LAMA-FIRST,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,3487.76,3527.66,8,0,
24,2026-07-01 14:59:38.903,LAMA-FIRST,GluingPlateHL_lp2_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp2_pr2_r1.pddl,True,3529.04,3566.38,8,0,
25,2026-07-01 14:59:42.759,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,286.83,336.90,3,0,
26,2026-07-01 14:59:43.240,LAMA-FIRST,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,3461.22,3499.71,9,0,
27,2026-07-01 14:59:46.771,LAMA-FIRST,GluingPlateHL_lp2_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp2_pr2_r1.pddl,True,3424.28,3472.42,9,0,
28,2026-07-01 14:59:50.310,FF,PlaceHL_lp3_pr3_r1,Plannerinputs/generated/problemPlaceHL_lp3_pr3_r1.pddl,True,282.39,329.85,2,0,
29,2026-07-01 14:59:50.970,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,279.07,328.12,2,0,
30,2026-07-01 14:59:51.431,LAMA-FIRST,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,3417.47,3464.71,8,0,
