Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2026-07-01 12:20:47.465,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1.17
2,2026-07-01 12:20:47.843,TravelML,TravelML_r1_pr2_ep1,STARTED,"ML action execution; DeltaTime: 0.100",379.68
3,2026-07-01 12:20:47.843,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",379.89
4,2026-07-01 12:20:47.844,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Action logic completed successfully",379.93
5,2026-07-01 12:20:47.849,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied on exit",385.21
6,2026-07-01 12:20:47.962,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",498.72
7,2026-07-01 12:20:47.965,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"ML action execution; DeltaTime: 0.100",501.01
8,2026-07-01 12:20:47.965,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",501.03
9,2026-07-01 12:20:47.965,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Action logic completed successfully",501.04
10,2026-07-01 12:20:47.969,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied on exit",505.45
11,2026-07-01 12:20:48.087,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",623.50
12,2026-07-01 12:20:48.089,TravelML,TravelML_r1_ep1_fp1,STARTED,"ML action execution; DeltaTime: 0.100",625.00
13,2026-07-01 12:20:48.089,TravelML,TravelML_r1_ep1_fp1,STARTED,"DeltaTime: 0.100",625.02
14,2026-07-01 12:20:48.089,TravelML,TravelML_r1_ep1_fp1,COMPLETED,"Action logic completed successfully",625.02
15,2026-07-01 12:20:48.091,TravelML,TravelML_r1_ep1_fp1,COMPLETED,"Effects applied on exit",627.47
16,2026-07-01 12:20:48.209,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",745.79
17,2026-07-01 12:20:48.211,InitializeML,InitializeML_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",747.21
18,2026-07-01 12:20:48.211,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",747.22
19,2026-07-01 12:20:48.211,InitializeML,InitializeML_r1_vg1,COMPLETED,"Action logic completed successfully",747.23
20,2026-07-01 12:20:48.214,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied on exit",750.57
21,2026-07-01 12:20:48.334,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",870.57
22,2026-07-01 12:20:48.336,PickUpML,PickUpML_lp1_fp1_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",871.99
23,2026-07-01 12:20:48.336,PickUpML,PickUpML_lp1_fp1_r1_vg1,STARTED,"DeltaTime: 0.100",872.00
24,2026-07-01 12:20:48.336,PickUpML,PickUpML_lp1_fp1_r1_vg1,COMPLETED,"Action logic completed successfully",872.01
25,2026-07-01 12:20:48.340,PickUpML,PickUpML_lp1_fp1_r1_vg1,COMPLETED,"Effects applied on exit",875.96
26,2026-07-01 12:20:48.461,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",997.03
27,2026-07-01 12:20:48.462,PickUpHL,PickUpHL_lp1_fp1_r1,COMPLETED,"Subtree execution completed successfully",998.01
28,2026-07-01 12:20:48.462,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"DeltaTime: 0.100",998.03
29,2026-07-01 12:20:48.462,PickUpHL,PickUpHL_lp1_fp1_r1,COMPLETED,"Action logic completed successfully",998.03
30,2026-07-01 12:20:48.464,PickUpHL,PickUpHL_lp1_fp1_r1,COMPLETED,"Effects applied on exit",1000.40
31,2026-07-01 12:20:48.611,PlaceHL,PlaceHL_lp1_pr1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PlaceHL_lp1_pr1_r1; DeltaTime: 0.100",1147.29
32,2026-07-01 12:20:48.949,TravelML,TravelML_r1_fp1_pr1,STARTED,"ML action execution; DeltaTime: 0.100",1485.61
33,2026-07-01 12:20:48.949,TravelML,TravelML_r1_fp1_pr1,STARTED,"DeltaTime: 0.100",1485.63
34,2026-07-01 12:20:48.949,TravelML,TravelML_r1_fp1_pr1,COMPLETED,"Action logic completed successfully",1485.63
35,2026-07-01 12:20:48.951,TravelML,TravelML_r1_fp1_pr1,COMPLETED,"Effects applied on exit",1487.57
36,2026-07-01 12:20:49.063,PlaceHL,PlaceHL_lp1_pr1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PlaceHL_lp1_pr1_r1; DeltaTime: 0.100",1599.14
