CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
1,2026-07-01 12:20:41.786,ENHSP,cassette1,./Plannerinputs/static/problemC1.pddl,True,1295.44,1531.35,31,0,
2,2026-07-01 12:20:43.319,ENHSP,cassette2,./Plannerinputs/static/problemC2.pddl,True,1311.79,1386.84,31,0,
3,2026-07-01 12:20:44.706,ENHSP,cassette3,./Plannerinputs/static/problemC3.pddl,True,1259.90,1331.08,31,0,
4,2026-07-01 12:20:46.037,ENHSP,cassette4,./Plannerinputs/static/problemC4.pddl,True,1292.86,1377.00,31,0,
5,2026-07-01 12:20:47.496,FF,PickUpHL_lp1_fp1_r1,Plannerinputs/generated/problemPickUpHL_lp1_fp1_r1.pddl,True,285.32,345.82,5,0,
6,2026-07-01 12:20:48.616,FF,PlaceHL_lp1_pr1_r1,Plannerinputs/generated/problemPlaceHL_lp1_pr1_r1.pddl,True,282.21,332.40,2,0,
7,2026-07-01 12:20:49.333,FF,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,288.14,333.29,2,0,
8,2026-07-01 12:20:50.069,FF,PlaceHL_lp2_pr2_r1,Plannerinputs/generated/problemPlaceHL_lp2_pr2_r1.pddl,True,285.99,340.29,2,0,
9,2026-07-01 12:20:50.788,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,281.66,325.20,2,0,
10,2026-07-01 12:20:51.538,FF,PlaceHL_lp3_pr3_r1,Plannerinputs/generated/problemPlaceHL_lp3_pr3_r1.pddl,True,287.04,335.53,2,0,
11,2026-07-01 12:20:52.298,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,276.81,328.55,2,0,
12,2026-07-01 12:20:53.026,FF,PlaceHL_lp4_pr4_r1,Plannerinputs/generated/problemPlaceHL_lp4_pr4_r1.pddl,True,279.91,325.49,2,0,
13,2026-07-01 12:20:53.764,FF,GluingPlateHL_lp1_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp1_pr1_r1.pddl,True,313.18,366.18,8,0,
14,2026-07-01 12:20:55.263,FF,GluingPlateHL_lp2_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp2_pr2_r1.pddl,True,299.68,347.43,2,0,
15,2026-07-01 12:20:56.016,FF,GluingPlateHL_lp3_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp3_pr3_r1.pddl,True,293.83,357.06,2,0,
16,2026-07-01 12:20:56.754,FF,GluingPlateHL_lp4_pr4_r1,Plannerinputs/generated/problemGluingPlateHL_lp4_pr4_r1.pddl,True,309.26,359.27,2,0,
17,2026-07-01 12:20:57.537,FF,PickUpHL_b1_fp2_r1,Plannerinputs/generated/problemPickUpHL_b1_fp2_r1.pddl,True,317.37,380.71,9,0,
18,2026-07-01 12:20:59.184,FF,StackHL_b1_lp1_r1_pr1_lay1_m1,Plannerinputs/generated/problemStackHL_b1_lp1_r1_pr1_lay1_m1.pddl,True,295.37,332.53,2,0,
19,2026-07-01 12:20:59.946,FF,PickUpHL_b2_fp3_r1,Plannerinputs/generated/problemPickUpHL_b2_fp3_r1.pddl,True,291.99,352.30,2,0,
20,2026-07-01 12:21:00.697,FF,StackHL_b2_lp1_r1_pr1_lay1_m1,Plannerinputs/generated/problemStackHL_b2_lp1_r1_pr1_lay1_m1.pddl,True,283.22,328.63,2,0,
21,2026-07-01 12:21:01.452,FF,PickUpHL_b6_fp8_r1,Plannerinputs/generated/problemPickUpHL_b6_fp8_r1.pddl,True,304.58,349.81,2,0,
22,2026-07-01 12:21:02.198,FF,StackHL_b6_lp1_r1_pr1_lay1_m1,Plannerinputs/generated/problemStackHL_b6_lp1_r1_pr1_lay1_m1.pddl,True,306.91,351.68,2,0,
23,2026-07-01 12:21:02.980,FF,PickUpHL_b4_fp6_r1,Plannerinputs/generated/problemPickUpHL_b4_fp6_r1.pddl,True,317.70,360.63,2,0,
24,2026-07-01 12:21:03.740,FF,StackHL_b4_lp1_r1_pr1_lay1_m1,Plannerinputs/generated/problemStackHL_b4_lp1_r1_pr1_lay1_m1.pddl,True,298.10,343.28,2,0,
25,2026-07-01 12:21:04.483,FF,PickUpHL_b3_fp4_r1,Plannerinputs/generated/problemPickUpHL_b3_fp4_r1.pddl,True,297.32,343.87,2,0,
26,2026-07-01 12:21:05.220,FF,StackHL_b3_lp1_r1_pr1_lay1_m1,Plannerinputs/generated/problemStackHL_b3_lp1_r1_pr1_lay1_m1.pddl,True,297.38,345.23,2,0,
27,2026-07-01 12:21:05.955,FF,PickUpHL_b5_fp7_r1,Plannerinputs/generated/problemPickUpHL_b5_fp7_r1.pddl,True,294.58,343.46,2,0,
28,2026-07-01 12:21:06.696,FF,StackHL_b5_lp1_r1_pr1_lay1_m1,Plannerinputs/generated/problemStackHL_b5_lp1_r1_pr1_lay1_m1.pddl,True,310.80,356.31,2,0,
29,2026-07-01 12:21:07.475,FF,PickUpHL_b7_fp10_r1,Plannerinputs/generated/problemPickUpHL_b7_fp10_r1.pddl,True,290.34,334.47,2,0,
30,2026-07-01 12:21:08.206,FF,StackHL_b7_lp2_r1_pr2_lay2_m2,Plannerinputs/generated/problemStackHL_b7_lp2_r1_pr2_lay2_m2.pddl,True,291.79,343.83,2,0,
31,2026-07-01 12:21:08.933,FF,PickUpHL_b8_fp11_r1,Plannerinputs/generated/problemPickUpHL_b8_fp11_r1.pddl,True,286.12,328.55,2,0,
32,2026-07-01 12:21:09.683,FF,StackHL_b8_lp2_r1_pr2_lay2_m2,Plannerinputs/generated/problemStackHL_b8_lp2_r1_pr2_lay2_m2.pddl,True,299.67,356.17,2,0,
33,2026-07-01 12:21:10.474,FF,PickUpHL_b12_fp16_r1,Plannerinputs/generated/problemPickUpHL_b12_fp16_r1.pddl,True,292.94,342.94,2,0,
34,2026-07-01 12:21:11.229,FF,StackHL_b12_lp2_r1_pr2_lay2_m2,Plannerinputs/generated/problemStackHL_b12_lp2_r1_pr2_lay2_m2.pddl,True,306.99,352.15,2,0,
35,2026-07-01 12:21:11.985,FF,PickUpHL_b10_fp14_r1,Plannerinputs/generated/problemPickUpHL_b10_fp14_r1.pddl,True,292.91,334.58,2,0,
36,2026-07-01 12:21:12.758,FF,StackHL_b10_lp2_r1_pr2_lay2_m2,Plannerinputs/generated/problemStackHL_b10_lp2_r1_pr2_lay2_m2.pddl,True,288.61,336.06,2,0,
37,2026-07-01 12:21:13.481,FF,PickUpHL_b9_fp12_r1,Plannerinputs/generated/problemPickUpHL_b9_fp12_r1.pddl,True,294.68,338.04,2,0,
38,2026-07-01 12:21:14.239,FF,StackHL_b9_lp2_r1_pr2_lay2_m2,Plannerinputs/generated/problemStackHL_b9_lp2_r1_pr2_lay2_m2.pddl,True,296.51,338.42,2,0,
39,2026-07-01 12:21:15.000,FF,PickUpHL_b11_fp15_r1,Plannerinputs/generated/problemPickUpHL_b11_fp15_r1.pddl,True,294.23,338.05,2,0,
40,2026-07-01 12:21:15.731,FF,StackHL_b11_lp2_r1_pr2_lay2_m2,Plannerinputs/generated/problemStackHL_b11_lp2_r1_pr2_lay2_m2.pddl,True,287.35,335.05,2,0,
41,2026-07-01 12:21:16.480,FF,PickUpHL_b13_fp18_r1,Plannerinputs/generated/problemPickUpHL_b13_fp18_r1.pddl,True,301.36,348.99,2,0,
42,2026-07-01 12:21:17.231,FF,StackHL_b13_lp3_r1_pr3_lay3_m3,Plannerinputs/generated/problemStackHL_b13_lp3_r1_pr3_lay3_m3.pddl,True,305.30,352.19,2,0,
43,2026-07-01 12:21:17.996,FF,PickUpHL_b14_fp19_r1,Plannerinputs/generated/problemPickUpHL_b14_fp19_r1.pddl,True,302.25,346.36,2,0,
44,2026-07-01 12:21:18.738,FF,StackHL_b14_lp3_r1_pr3_lay3_m3,Plannerinputs/generated/problemStackHL_b14_lp3_r1_pr3_lay3_m3.pddl,True,315.78,370.64,2,0,
45,2026-07-01 12:21:19.512,FF,PickUpHL_b18_fp24_r1,Plannerinputs/generated/problemPickUpHL_b18_fp24_r1.pddl,True,305.31,348.42,2,0,
46,2026-07-01 12:21:20.280,FF,StackHL_b18_lp3_r1_pr3_lay3_m3,Plannerinputs/generated/problemStackHL_b18_lp3_r1_pr3_lay3_m3.pddl,True,306.73,351.89,2,0,
47,2026-07-01 12:21:21.031,FF,PickUpHL_b16_fp22_r1,Plannerinputs/generated/problemPickUpHL_b16_fp22_r1.pddl,True,282.55,327.79,2,0,
48,2026-07-01 12:21:21.755,FF,StackHL_b16_lp3_r1_pr3_lay3_m3,Plannerinputs/generated/problemStackHL_b16_lp3_r1_pr3_lay3_m3.pddl,True,277.20,322.91,2,0,
49,2026-07-01 12:21:22.486,FF,PickUpHL_b15_fp20_r1,Plannerinputs/generated/problemPickUpHL_b15_fp20_r1.pddl,True,271.27,314.60,2,0,
50,2026-07-01 12:21:23.218,FF,StackHL_b15_lp3_r1_pr3_lay3_m3,Plannerinputs/generated/problemStackHL_b15_lp3_r1_pr3_lay3_m3.pddl,True,280.19,327.32,2,0,
51,2026-07-01 12:21:23.964,FF,PickUpHL_b17_fp23_r1,Plannerinputs/generated/problemPickUpHL_b17_fp23_r1.pddl,True,272.24,317.96,2,0,
52,2026-07-01 12:21:24.680,FF,StackHL_b17_lp3_r1_pr3_lay3_m3,Plannerinputs/generated/problemStackHL_b17_lp3_r1_pr3_lay3_m3.pddl,True,279.15,331.41,2,0,
53,2026-07-01 12:21:25.425,FF,PickUpHL_b19_fp26_r1,Plannerinputs/generated/problemPickUpHL_b19_fp26_r1.pddl,True,274.31,319.19,2,0,
54,2026-07-01 12:21:26.140,FF,StackHL_b19_lp4_r1_pr4_lay4_m4,Plannerinputs/generated/problemStackHL_b19_lp4_r1_pr4_lay4_m4.pddl,True,279.81,328.55,2,0,
55,2026-07-01 12:21:26.893,FF,PickUpHL_b20_fp27_r1,Plannerinputs/generated/problemPickUpHL_b20_fp27_r1.pddl,True,268.39,313.76,2,0,
56,2026-07-01 12:21:27.641,FF,StackHL_b20_lp4_r1_pr4_lay4_m4,Plannerinputs/generated/problemStackHL_b20_lp4_r1_pr4_lay4_m4.pddl,True,279.51,325.35,2,0,
57,2026-07-01 12:21:28.355,FF,PickUpHL_b24_fp32_r1,Plannerinputs/generated/problemPickUpHL_b24_fp32_r1.pddl,True,283.46,331.80,2,0,
58,2026-07-01 12:21:29.131,FF,StackHL_b24_lp4_r1_pr4_lay4_m4,Plannerinputs/generated/problemStackHL_b24_lp4_r1_pr4_lay4_m4.pddl,True,321.48,369.06,2,0,
59,2026-07-01 12:21:29.906,FF,PickUpHL_b22_fp30_r1,Plannerinputs/generated/problemPickUpHL_b22_fp30_r1.pddl,True,281.85,324.80,2,0,
60,2026-07-01 12:21:30.645,FF,StackHL_b22_lp4_r1_pr4_lay4_m4,Plannerinputs/generated/problemStackHL_b22_lp4_r1_pr4_lay4_m4.pddl,True,285.44,331.57,2,0,
61,2026-07-01 12:21:31.416,FF,PickUpHL_b21_fp28_r1,Plannerinputs/generated/problemPickUpHL_b21_fp28_r1.pddl,True,274.11,321.64,2,0,
62,2026-07-01 12:21:32.174,FF,StackHL_b21_lp4_r1_pr4_lay4_m4,Plannerinputs/generated/problemStackHL_b21_lp4_r1_pr4_lay4_m4.pddl,True,279.80,330.86,2,0,
63,2026-07-01 12:21:32.925,FF,PickUpHL_b23_fp31_r1,Plannerinputs/generated/problemPickUpHL_b23_fp31_r1.pddl,True,277.13,316.71,2,0,
64,2026-07-01 12:21:33.668,FF,StackHL_b23_lp4_r1_pr4_lay4_m4,Plannerinputs/generated/problemStackHL_b23_lp4_r1_pr4_lay4_m4.pddl,True,307.44,358.76,2,0,
65,2026-07-01 12:21:34.459,FF,NailingBeamHL_b2_r1_m1_lay1,Plannerinputs/generated/problemNailingBeamHL_b2_r1_m1_lay1.pddl,True,321.30,382.15,8,0,
66,2026-07-01 12:21:36.021,FF,NailingBeamHL_b4_r1_m1_lay1,Plannerinputs/generated/problemNailingBeamHL_b4_r1_m1_lay1.pddl,True,267.94,313.21,1,0,
67,2026-07-01 12:21:36.608,FF,NailingBeamHL_b3_r1_m1_lay1,Plannerinputs/generated/problemNailingBeamHL_b3_r1_m1_lay1.pddl,True,278.90,328.10,1,0,
68,2026-07-01 12:21:37.209,FF,NailingBeamHL_b5_r1_m1_lay1,Plannerinputs/generated/problemNailingBeamHL_b5_r1_m1_lay1.pddl,True,270.48,299.15,1,0,
69,2026-07-01 12:21:37.814,FF,NailingBeamHL_b1_r1_m1_lay1,Plannerinputs/generated/problemNailingBeamHL_b1_r1_m1_lay1.pddl,True,282.06,321.52,1,0,
70,2026-07-01 12:21:38.421,FF,NailingBeamHL_b6_r1_m1_lay1,Plannerinputs/generated/problemNailingBeamHL_b6_r1_m1_lay1.pddl,True,298.70,345.23,1,0,
71,2026-07-01 12:21:39.039,FF,NailingBeamHL_b8_r1_m2_lay2,Plannerinputs/generated/problemNailingBeamHL_b8_r1_m2_lay2.pddl,True,285.57,343.84,2,0,
72,2026-07-01 12:21:39.799,FF,NailingBeamHL_b10_r1_m2_lay2,Plannerinputs/generated/problemNailingBeamHL_b10_r1_m2_lay2.pddl,True,285.09,337.23,1,0,
73,2026-07-01 12:21:40.435,FF,NailingBeamHL_b9_r1_m2_lay2,Plannerinputs/generated/problemNailingBeamHL_b9_r1_m2_lay2.pddl,True,266.27,307.70,1,0,
74,2026-07-01 12:21:41.047,FF,NailingBeamHL_b11_r1_m2_lay2,Plannerinputs/generated/problemNailingBeamHL_b11_r1_m2_lay2.pddl,True,293.33,340.22,1,0,
75,2026-07-01 12:21:41.658,FF,NailingBeamHL_b7_r1_m2_lay2,Plannerinputs/generated/problemNailingBeamHL_b7_r1_m2_lay2.pddl,True,270.52,312.13,1,0,
76,2026-07-01 12:21:42.277,FF,NailingBeamHL_b12_r1_m2_lay2,Plannerinputs/generated/problemNailingBeamHL_b12_r1_m2_lay2.pddl,True,261.78,306.91,1,0,
77,2026-07-01 12:21:42.872,FF,NailingBeamHL_b14_r1_m3_lay3,Plannerinputs/generated/problemNailingBeamHL_b14_r1_m3_lay3.pddl,True,263.96,308.18,2,0,
78,2026-07-01 12:21:43.576,FF,NailingBeamHL_b16_r1_m3_lay3,Plannerinputs/generated/problemNailingBeamHL_b16_r1_m3_lay3.pddl,True,266.00,314.49,1,0,
79,2026-07-01 12:21:44.162,FF,NailingBeamHL_b15_r1_m3_lay3,Plannerinputs/generated/problemNailingBeamHL_b15_r1_m3_lay3.pddl,True,258.70,305.55,1,0,
80,2026-07-01 12:21:44.772,FF,NailingBeamHL_b17_r1_m3_lay3,Plannerinputs/generated/problemNailingBeamHL_b17_r1_m3_lay3.pddl,True,257.94,304.45,1,0,
81,2026-07-01 12:21:45.396,FF,NailingBeamHL_b13_r1_m3_lay3,Plannerinputs/generated/problemNailingBeamHL_b13_r1_m3_lay3.pddl,True,262.73,313.71,1,0,
82,2026-07-01 12:21:45.984,FF,NailingBeamHL_b18_r1_m3_lay3,Plannerinputs/generated/problemNailingBeamHL_b18_r1_m3_lay3.pddl,True,256.83,300.41,1,0,
83,2026-07-01 12:21:46.571,FF,NailingBeamHL_b20_r1_m4_lay4,Plannerinputs/generated/problemNailingBeamHL_b20_r1_m4_lay4.pddl,True,256.99,300.14,2,0,
84,2026-07-01 12:21:47.292,FF,NailingBeamHL_b22_r1_m4_lay4,Plannerinputs/generated/problemNailingBeamHL_b22_r1_m4_lay4.pddl,True,259.71,299.49,1,0,
85,2026-07-01 12:21:47.872,FF,NailingBeamHL_b21_r1_m4_lay4,Plannerinputs/generated/problemNailingBeamHL_b21_r1_m4_lay4.pddl,True,246.41,287.42,1,0,
