Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1,2026-07-01 14:05:17.192,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1.20
2,2026-07-01 14:05:17.621,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",430.24
3,2026-07-01 14:05:18.049,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",858.01
4,2026-07-01 14:05:18.537,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",1346.49
5,2026-07-01 14:05:19.049,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",1858.09
6,2026-07-01 14:05:19.052,TravelML,TravelML_r1_pr2_ep1,STARTED,"ML action execution; DeltaTime: 0.100",1861.54
7,2026-07-01 14:05:19.053,TravelML,TravelML_r1_pr2_ep1,STARTED,"DeltaTime: 0.100",1861.80
8,2026-07-01 14:05:19.053,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Action logic completed successfully",1861.93
9,2026-07-01 14:05:19.060,TravelML,TravelML_r1_pr2_ep1,COMPLETED,"Effects applied on exit",1868.98
10,2026-07-01 14:05:19.069,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",1878.07
11,2026-07-01 14:05:19.076,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",1885.40
12,2026-07-01 14:05:19.083,PickUpHL,PickUpHL_lp4_fp25_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1; DeltaTime: 0.100",1892.53
13,2026-07-01 14:05:19.195,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"HL subtree tick: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",2004.60
14,2026-07-01 14:05:19.198,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"ML action execution; DeltaTime: 0.100",2006.77
15,2026-07-01 14:05:19.198,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",2006.88
16,2026-07-01 14:05:19.198,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Action logic completed successfully",2006.91
