ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTFlowNodeComposite,0,2402,4,0,0
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,372,4677,3564,1113,372
DecoratorExclusiveBranchGate,372,3564,1296,2268,372
DecoratorLowestCostExecution,372,1296,1152,144,372
DecoratorPlanningComplete,384,9481,9469,12,384
DecoratorResetOnSubtreeSuccess,372,4677,4677,0,372
DecoratorRetryOnFailure,384,9469,9469,0,384
DynamicFlowNode,0,9481,487,0,0
FlowNode,388,0,0,0,388
GenericBTAction,6507,5457,1152,0,6507
ServiceBatchEntry,0,1201,1201,0,3
ServicePDDLPlanning,0,9481,9481,0,384
ServicePlanningPhaseManager,0,1201,1201,0,3
ServiceSubtreeInject,6525,5457,5457,0,6525
TOTAL,15676,67844,48610,3537,16066
