CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
1,2026-07-01 14:05:11.352,ENHSP,cassette1,./Plannerinputs/static/problemC1.pddl,True,1309.60,1510.14,31,0,
2,2026-07-01 14:05:12.865,ENHSP,cassette2,./Plannerinputs/static/problemC2.pddl,True,1317.86,1446.01,31,0,
3,2026-07-01 14:05:14.312,ENHSP,cassette3,./Plannerinputs/static/problemC3.pddl,True,1306.22,1427.06,31,0,
4,2026-07-01 14:05:15.739,ENHSP,cassette4,./Plannerinputs/static/problemC4.pddl,True,1312.72,1404.35,31,0,
5,2026-07-01 14:05:17.230,FF,PickUpHL_lp1_fp1_r1,Plannerinputs/generated/problemPickUpHL_lp1_fp1_r1.pddl,True,286.16,347.61,5,0,
6,2026-07-01 14:05:17.655,FF,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,288.83,354.61,5,0,
7,2026-07-01 14:05:18.084,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,294.95,412.40,5,0,
8,2026-07-01 14:05:18.566,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,292.92,355.03,5,0,
9,2026-07-01 14:05:19.894,FF,PickUpHL_lp2_fp9_r1,Plannerinputs/generated/problemPickUpHL_lp2_fp9_r1.pddl,True,312.18,366.23,3,0,
10,2026-07-01 14:05:20.301,FF,PickUpHL_lp3_fp17_r1,Plannerinputs/generated/problemPickUpHL_lp3_fp17_r1.pddl,True,315.40,372.52,3,0,
11,2026-07-01 14:05:20.724,FF,PickUpHL_lp4_fp25_r1,Plannerinputs/generated/problemPickUpHL_lp4_fp25_r1.pddl,True,292.55,342.96,3,0,
